film_id,category_id,last_update
7,5,2006-02-15T04:07:09
61,7,2006-02-15T04:07:09
79,7,2006-02-15T04:07:09
98,7,2006-02-15T04:07:09
143,7,2006-02-15T04:07:09
172,7,2006-02-15T04:07:09
173,7,2006-02-15T04:07:09
179,7,2006-02-15T04:07:09
186,7,2006-02-15T04:07:09
204,7,2006-02-15T04:07:09
209,7,2006-02-15T04:07:09
218,7,2006-02-15T04:07:09
230,7,2006-02-15T04:07:09
272,7,2006-02-15T04:07:09
282,7,2006-02-15T04:07:09
366,7,2006-02-15T04:07:09
368,7,2006-02-15T04:07:09
379,7,2006-02-15T04:07:09
396,7,2006-02-15T04:07:09
401,7,2006-02-15T04:07:09
403,7,2006-02-15T04:07:09
