country_id,country,last_update
2,Алжир,2006-02-15T03:44:00
4,Ангола,2006-02-15T03:44:00
7,Армения,2006-02-15T03:44:00
8,Австралия,2006-02-15T03:44:00
11,Бахрейн,2006-02-15T03:44:00
13,Беларусь,2006-02-15T03:44:00
15,Бразилия,2006-02-15T03:44:00
18,Камбоджа,2006-02-15T03:44:00
19,Камерун,2006-02-15T03:44:00
20,Канада,2006-02-15T03:44:00
21,Чад,2006-02-15T03:44:00
22,Чили,2006-02-15T03:44:00
27,Доминиканская Республика,2006-02-15T03:44:00
28,Эквадор,2006-02-15T03:44:00
29,Египет,2006-02-15T03:44:00
31,Эфиопия,2006-02-15T03:44:00
33,Германия,2006-02-15T03:44:00
37,Гамбия,2006-02-15T03:44:00
39,Греция,2006-02-15T03:44:00
40,Гренландия,2006-02-15T03:44:00
41,Святейший Престол (штат Ватикан),2006-02-15T03:44:00
43,Венгрия,2006-02-15T03:44:00
44,Индией,2006-02-15T03:44:00
45,Индонезия,2006-02-15T03:44:00
46,Иран,2006-02-15T03:44:00
47,Ирак,2006-02-15T03:44:00
48,Израиль,2006-02-15T03:44:00
49,Италия,2006-02-15T03:44:00
50,Япония,2006-02-15T03:44:00
54,Латвия,2006-02-15T03:44:00
55,Лихтенштейн,2006-02-15T03:44:00
56,Литва,2006-02-15T03:44:00
57,Мадагаскар,2006-02-15T03:44:00
58,Малави,2006-02-15T03:44:00
60,Мексика,2006-02-15T03:44:00
65,Науру,2006-02-15T03:44:00
66,Непал,2006-02-15T03:44:00
68,Новая Зеландия,2006-02-15T03:44:00
72,Пакистан,2006-02-15T03:44:00
74,Перу,2006-02-15T03:44:00
75,Филиппины,2006-02-15T03:44:00
76,Польша,2006-02-15T03:44:00
81,Сент-Винсент и Гренадины,2006-02-15T03:44:00
82,Саудовская Аравия,2006-02-15T03:44:00
83,Сенегал,2006-02-15T03:44:00
84,Словакия,2006-02-15T03:44:00
87,Испания,2006-02-15T03:44:00
89,Судан,2006-02-15T03:44:00
90,Франция,2006-02-15T03:44:00
92,Тайвань,2006-02-15T03:44:00
93,Танзания,2006-02-15T03:44:00
95,Тонга,2006-02-15T03:44:00
97,Турция,2006-02-15T03:44:00
98,Туркменистан,2006-02-15T03:44:00
99,Тувалу,2006-02-15T03:44:00
100,Украина,2006-02-15T03:44:00
101,Объединенные Арабские Эмираты,2006-02-15T03:44:00
103,Соединенные Штаты,2006-02-15T03:44:00
104,Венесуэла,2006-02-15T03:44:00
105,Вьетнам,2006-02-15T03:44:00
106,"Вирджинские острова, США",2006-02-15T03:44:00
107,Йемен,2006-02-15T03:44:00
109,Замбия,2006-02-15T03:44:00
