actor_id,film_id,last_update
194,9,2006-02-15T04:05:03
77,538,2006-02-15T04:05:03
124,987,2006-02-15T04:05:03
82,551,2006-02-15T04:05:03
137,249,2006-02-15T04:05:03
124,785,2006-02-15T04:05:03
150,270,2006-02-15T04:05:03
20,231,2006-02-15T04:05:03
110,435,2006-02-15T04:05:03
156,462,2006-02-15T04:05:03
181,836,2006-02-15T04:05:03
90,901,2006-02-15T04:05:03
141,358,2006-02-15T04:05:03
67,731,2006-02-15T04:05:03
71,532,2006-02-15T04:05:03
140,731,2006-02-15T04:05:03
46,538,2006-02-15T04:05:03
72,964,2006-02-15T04:05:03
123,576,2006-02-15T04:05:03
83,833,2006-02-15T04:05:03
85,296,2006-02-15T04:05:03
40,223,2006-02-15T04:05:03
162,612,2006-02-15T04:05:03
55,340,2006-02-15T04:05:03
21,804,2006-02-15T04:05:03
27,540,2006-02-15T04:05:03
76,606,2006-02-15T04:05:03
136,933,2006-02-15T04:05:03
