country_id,country,last_update
2,Algeria,2006-02-15T03:44:00
5,Anguilla,2006-02-15T03:44:00
6,Argentina,2006-02-15T03:44:00
10,Azerbaijan,2006-02-15T03:44:00
21,Chad,2006-02-15T03:44:00
22,Chile,2006-02-15T03:44:00
24,Colombia,2006-02-15T03:44:00
34,France,2006-02-15T03:44:00
37,Gambia,2006-02-15T03:44:00
38,Germany,2006-02-15T03:44:00
47,Iraq,2006-02-15T03:44:00
51,Kazakstan,2006-02-15T03:44:00
54,Latvia,2006-02-15T03:44:00
66,Nepal,2006-02-15T03:44:00
72,Pakistan,2006-02-15T03:44:00
75,Philippines,2006-02-15T03:44:00
81,Saint Vincent and the Grenadines,2006-02-15T03:44:00
87,Spain,2006-02-15T03:44:00
89,Sudan,2006-02-15T03:44:00
94,Thailand,2006-02-15T03:44:00
97,Turkey,2006-02-15T03:44:00
101,United Arab Emirates,2006-02-15T03:44:00
102,United Kingdom,2006-02-15T03:44:00
105,Vietnam,2006-02-15T03:44:00
