country_id,country,last_update
2,Алжир,2006-02-15 03:44:00
5,Ангилья,2006-02-15 03:44:00
6,Аргентина,2006-02-15 03:44:00
10,Азербайджан,2006-02-15 03:44:00
21,Чад,2006-02-15 03:44:00
22,Чили,2006-02-15 03:44:00
24,Колумбия,2006-02-15 03:44:00
34,Франция,2006-02-15 03:44:00
37,Гамбия,2006-02-15 03:44:00
38,Германия,2006-02-15 03:44:00
47,Ирак,2006-02-15 03:44:00
51,Казахстан,2006-02-15 03:44:00
54,Латвия,2006-02-15 03:44:00
66,Непал,2006-02-15 03:44:00
72,Пакистан,2006-02-15 03:44:00
75,Филиппины,2006-02-15 03:44:00
81,Сент-Винсент и Гренадины,2006-02-15 03:44:00
87,Испания,2006-02-15 03:44:00
89,Судан,2006-02-15 03:44:00
94,Таиланд,2006-02-15 03:44:00
97,Турция,2006-02-15 03:44:00
101,Объединенные Арабские Эмираты,2006-02-15 03:44:00
102,Соединенное Королевство,2006-02-15 03:44:00
105,Вьетнам,2006-02-15 03:44:00
