inventory_id,film_id,store_id,last_update
139,28,1,"15 февраля 2006 года, среда"
140,28,1,"15 февраля 2006 года, среда"
141,28,1,"15 февраля 2006 года, среда"
548,119,2,"15 февраля 2006 года, среда"
581,127,1,"15 февраля 2006 года, среда"
585,127,2,"15 февраля 2006 года, среда"
727,159,1,"15 февраля 2006 года, среда"
729,159,2,"15 февраля 2006 года, среда"
730,159,2,"15 февраля 2006 года, среда"
818,178,1,"15 февраля 2006 года, среда"
833,182,1,"15 февраля 2006 года, среда"
909,202,1,"15 февраля 2006 года, среда"
910,202,1,"15 февраля 2006 года, среда"
1084,242,1,"15 февраля 2006 года, среда"
1085,242,1,"15 февраля 2006 года, среда"
1086,242,2,"15 февраля 2006 года, среда"
1113,247,1,"15 февраля 2006 года, среда"
1116,247,2,"15 февраля 2006 года, среда"
1118,247,2,"15 февраля 2006 года, среда"
1188,265,1,"15 февраля 2006 года, среда"
1191,265,1,"15 февраля 2006 года, среда"
1409,308,2,"15 февраля 2006 года, среда"
1446,317,1,"15 февраля 2006 года, среда"
1777,385,2,"15 февраля 2006 года, среда"
1785,388,1,"15 февраля 2006 года, среда"
1786,388,1,"15 февраля 2006 года, среда"
1789,388,2,"15 февраля 2006 года, среда"
1884,410,2,"15 февраля 2006 года, среда"
1885,410,2,"15 февраля 2006 года, среда"
