corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
127,Corp. Computer QuestsCo., , ,,,,,2004-10-12T10:41:26,6,
260,Corp. Famous TransitCorp., , ,,,,,2004-10-12T10:41:26,7,
320,Corp. Boston TransitLtd., , ,,,,,2004-10-12T10:41:26,3,
377,Corp. Humble QuestsLtd., , ,,,,,2004-10-12T10:41:26,1,
384,Corp. Imperial NeedleworkLtd., , ,,,,,2004-10-12T10:41:26,5,
390,Corp. Imperial TransitLtd., , ,,,,,2004-10-12T10:41:26,3,
396,Corp. Just PetroleumLtd., , ,,,,,2004-10-12T10:41:26,3,
429,Corp. Computer Sail MakersAg., , ,,,,,2004-10-12T10:41:26,1,
456,Corp. Famous PetroleumAg., , ,,,,,2004-10-12T10:41:26,5,
465,Corp. Giant OperaAg., , ,,,,,2004-10-12T10:41:26,2,
488,Corp. Imperial RestaurantsAg., , ,,,,,2004-10-12T10:41:26,2,
498,Corp. Just RestaurantsAg., , ,,,,,2004-10-12T10:41:26,5,
230,Corp. Computer TransitCorp., , ,,,,,2004-10-12T10:41:26,3,
261,Corp. Giant Key StonesCorp., , ,,,,,2004-10-12T10:41:26,7,
332,Corp. Driven LightingLtd., , ,,,,,2004-10-12T10:41:26,7,
346,Corp. Expert PetroleumLtd., , ,,,,,2004-10-12T10:41:26,5,
364,Corp. Giant NeedleworkLtd., , ,,,,,2004-10-12T10:41:26,5,
420,Corp. Boston TransitAg., , ,,,,,2004-10-12T10:41:26,7,
439,Corp. Driven Sail MakersAg., , ,,,,,2004-10-12T10:41:26,1,
448,Corp. Expert RestaurantsAg., , ,,,,,2004-10-12T10:41:26,6,
451,Corp. Famous Key StonesAg., , ,,,,,2004-10-12T10:41:26,2,
165,Corp. Giant OperaCo., , ,,,,,2004-10-12T10:41:26,1,
295,Corp. Just OperaCorp., , ,,,,,2004-10-12T10:41:26,6,
298,Corp. Just RestaurantsCorp., , ,,,,,2004-10-12T10:41:26,2,
317,Corp. Boston QuestsLtd., , ,,,,,2004-10-12T10:41:26,7,
