payment_no,member_no,payment_dt,payment_amt,statement_no,payment_code
7215,8896,1999-09-02T00:00:00,19240.0,0,
7318,8999,1999-09-02T00:00:00,29338.0,0,
10297,4409,1999-10-03T00:00:00,1293.0,0,
3550,5208,1999-09-02T00:00:00,3858.0,0,
7664,9345,1999-09-02T00:00:00,12289.0,0,
7848,9529,1999-09-02T00:00:00,62511.0,0,
1299,2739,1999-09-02T00:00:00,9387.0,0,
769,2013,1999-09-02T00:00:00,2076.0,0,
10597,4787,1999-10-03T00:00:00,5485.0,0,
10192,4263,1999-10-03T00:00:00,6054.0,0,
9192,2804,1999-10-03T00:00:00,488.0,0,
15479,9925,1999-10-03T00:00:00,14489.0,0,
5808,7488,1999-09-02T00:00:00,15668.0,0,
7831,9512,1999-09-02T00:00:00,24966.0,0,
7277,8958,1999-09-02T00:00:00,23634.0,0,
142,810,1999-09-02T00:00:00,1634.0,0,
1705,3228,1999-09-02T00:00:00,10391.0,0,
8039,9720,1999-09-02T00:00:00,28905.0,0,
958,2288,1999-09-02T00:00:00,4304.0,0,
13990,8433,1999-10-03T00:00:00,9422.0,0,
2125,3700,1999-09-02T00:00:00,14627.0,0,
4779,6456,1999-09-02T00:00:00,2655.0,0,
10657,4854,1999-10-03T00:00:00,4835.0,0,
5313,6991,1999-09-02T00:00:00,6794.0,0,
8059,9740,1999-09-02T00:00:00,20045.0,0,
2429,4031,1999-09-02T00:00:00,1705.0,0,
14944,9390,1999-10-03T00:00:00,18158.0,0,
1890,3443,1999-09-02T00:00:00,3157.0,0,
11118,5393,1999-10-03T00:00:00,2926.0,0,
6295,7976,1999-09-02T00:00:00,16879.0,0,
3954,5622,1999-09-02T00:00:00,9321.0,0,
8351,538,1999-10-03T00:00:00,2321.0,0,
4770,6447,1999-09-02T00:00:00,18238.0,0,
188,924,1999-09-02T00:00:00,2911.0,0,
11016,5274,1999-10-03T00:00:00,8730.0,0,
6112,7793,1999-09-02T00:00:00,15632.0,0,
10084,4111,1999-10-03T00:00:00,1357.0,0,
1678,3197,1999-09-02T00:00:00,1877.0,0,
7678,9359,1999-09-02T00:00:00,43314.0,0,
7192,8873,1999-09-02T00:00:00,37922.0,0,
2090,3664,1999-09-02T00:00:00,8123.0,0,
10498,4670,1999-10-03T00:00:00,7233.0,0,
1228,2651,1999-09-02T00:00:00,4864.0,0,
8119,9800,1999-09-02T00:00:00,38885.0,0,
9370,3093,1999-10-03T00:00:00,4140.0,0,
2290,3883,1999-09-02T00:00:00,13325.0,0,
255,1084,1999-09-02T00:00:00,2818.0,0,
10185,4250,1999-10-03T00:00:00,1602.0,0,
6360,8041,1999-09-02T00:00:00,19067.0,0,
9412,3156,1999-10-03T00:00:00,2.0,0,
8286,9967,1999-09-02T00:00:00,60165.0,0,
1046,2396,1999-09-02T00:00:00,3282.0,0,
15350,9796,1999-10-03T00:00:00,39039.0,0,
1666,3185,1999-09-02T00:00:00,7523.0,0,
11758,6118,1999-10-03T00:00:00,3132.0,0,
16,287,1999-09-02T00:00:00,2169.0,0,
6832,8513,1999-09-02T00:00:00,20667.0,0,
9495,3282,1999-10-03T00:00:00,2019.0,0,
1479,2954,1999-09-02T00:00:00,10030.0,0,
13718,8159,1999-10-03T00:00:00,12251.0,0,
5389,7068,1999-09-02T00:00:00,10015.0,0,
7522,9203,1999-09-02T00:00:00,28825.0,0,
10160,4209,1999-10-03T00:00:00,13658.0,0,
3138,4781,1999-09-02T00:00:00,11658.0,0,
15187,9633,1999-10-03T00:00:00,11804.0,0,
6541,8222,1999-09-02T00:00:00,23967.0,0,
13795,8236,1999-10-03T00:00:00,10674.0,0,
12199,6591,1999-10-03T00:00:00,11510.0,0,
8005,9686,1999-09-02T00:00:00,28891.0,0,
12861,7285,1999-10-03T00:00:00,4636.0,0,
2473,4078,1999-09-02T00:00:00,4317.0,0,
9351,3065,1999-10-03T00:00:00,3778.0,0,
9546,3356,1999-10-03T00:00:00,4279.0,0,
1765,3298,1999-09-02T00:00:00,9261.0,0,
11947,6320,1999-10-03T00:00:00,10242.0,0,
1614,3125,1999-09-02T00:00:00,2921.0,0,
2796,4421,1999-09-02T00:00:00,8730.0,0,
15025,9471,1999-10-03T00:00:00,15895.0,0,
2338,3934,1999-09-02T00:00:00,6822.0,0,
13103,7534,1999-10-03T00:00:00,5366.0,0,
13640,8079,1999-10-03T00:00:00,9859.0,0,
4284,5955,1999-09-02T00:00:00,502.0,0,
6928,8609,1999-09-02T00:00:00,27027.0,0,
7107,8788,1999-09-02T00:00:00,29832.0,0,
708,1917,1999-09-02T00:00:00,13638.0,0,
6355,8036,1999-09-02T00:00:00,27110.0,0,
14293,8737,1999-10-03T00:00:00,17490.0,0,
4233,5904,1999-09-02T00:00:00,25316.0,0,
13920,8362,1999-10-03T00:00:00,17967.0,0,
6757,8438,1999-09-02T00:00:00,11144.0,0,
6948,8629,1999-09-02T00:00:00,19918.0,0,
166,863,1999-09-02T00:00:00,3677.0,0,
12221,6615,1999-10-03T00:00:00,4666.0,0,
8797,2049,1999-10-03T00:00:00,8525.0,0,
459,1503,1999-09-02T00:00:00,8342.0,0,
12054,6437,1999-10-03T00:00:00,12407.0,0,
3811,5474,1999-09-02T00:00:00,3353.0,0,
15300,9746,1999-10-03T00:00:00,15695.0,0,
6479,8160,1999-09-02T00:00:00,26615.0,0,
