provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
219,Prov. Boston Sa, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
239,Prov. Driven Sa, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,9,
242,Prov. Expert Li, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,5,
284,Prov. Imperial, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,9,
335,Prov. Driven Op, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,9,
351,Prov. Famous Ke, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,7,
356,Prov. Famous Pe, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,8,
358,Prov. Famous Re, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,8,
361,Prov. Giant Key, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,4,
365,Prov. Giant Ope, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,8,
367,Prov. Giant Que, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,6,
378,Prov. Humble Re, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,4,
380,Prov. Humble Tr, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,8,
386,Prov. Imperial, , ,,,,,1999-10-13T10:41:22,2000-10-12T10:41:22,9,
388,Prov. Imperial, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,5,
396,Prov. Just Petr, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,6,
398,Prov. Just Rest, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,5,
404,Prov. Apex Need, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,8,
412,Prov. Boston Li, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,8,
416,Prov. Boston Pe, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,5,
429,Prov. Computer, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,8,
430,Prov. Computer, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
432,Prov. Driven Li, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,3,
440,Prov. Driven Tr, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
442,Prov. Expert Li, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
443,Prov. Expert Ma, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,6,
446,Prov. Expert Pe, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,7,
448,Prov. Expert Re, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,8,
450,Prov. Expert Tr, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
451,Prov. Famous Ke, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
452,Prov. Famous Li, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
454,Prov. Famous Ne, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,8,
455,Prov. Famous Op, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
457,Prov. Famous Qu, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,7,
459,Prov. Famous Sa, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
464,Prov. Giant Nee, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,9,
468,Prov. Giant Res, , ,,,,,1999-10-13T10:41:23,2000-10-12T10:41:23,7,
469,Prov. Giant Sai, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,9,
471,Prov. Humble Ke, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,5,
472,Prov. Humble Li, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,7,
474,Prov. Humble Ne, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,9,
476,Prov. Humble Pe, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,5,
479,Prov. Humble Sa, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,4,
481,Prov. Imperial, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,9,
482,Prov. Imperial, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,8,
485,Prov. Imperial, , ,,,,,1999-10-13T10:41:24,2000-10-12T10:41:24,8,
