statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
1021,1021,1999-08-13T00:00:00,1999-09-02T00:00:00,2665.0,
2911,2911,1999-08-13T00:00:00,1999-09-02T00:00:00,9142.0,
3000,3000,1999-08-13T00:00:00,1999-09-02T00:00:00,12776.0,
4679,4679,1999-08-13T00:00:00,1999-09-02T00:00:00,16215.0,
5137,5137,1999-08-13T00:00:00,1999-09-02T00:00:00,17869.0,
5533,5533,1999-08-13T00:00:00,1999-09-02T00:00:00,9623.0,
6193,6193,1999-08-13T00:00:00,1999-09-02T00:00:00,19643.0,
6283,6283,1999-08-13T00:00:00,1999-09-02T00:00:00,12213.0,
6393,6393,1999-08-13T00:00:00,1999-09-02T00:00:00,13005.0,
6677,6677,1999-08-13T00:00:00,1999-09-02T00:00:00,20666.0,
6956,6956,1999-08-13T00:00:00,1999-09-02T00:00:00,29210.0,
7090,7090,1999-08-13T00:00:00,1999-09-02T00:00:00,25127.0,
7476,7476,1999-08-13T00:00:00,1999-09-02T00:00:00,10065.0,
7592,7592,1999-08-13T00:00:00,1999-09-02T00:00:00,30884.0,
7602,7602,1999-08-13T00:00:00,1999-09-02T00:00:00,14455.0,
7920,7920,1999-08-13T00:00:00,1999-09-02T00:00:00,19250.0,
8296,8296,1999-08-13T00:00:00,1999-09-02T00:00:00,20251.0,
8303,8303,1999-08-13T00:00:00,1999-09-02T00:00:00,26991.0,
8330,8330,1999-08-13T00:00:00,1999-09-02T00:00:00,15460.0,
8350,8350,1999-08-13T00:00:00,1999-09-02T00:00:00,17822.0,
8393,8393,1999-08-13T00:00:00,1999-09-02T00:00:00,22139.0,
8462,8462,1999-08-13T00:00:00,1999-09-02T00:00:00,14124.0,
8466,8466,1999-08-13T00:00:00,1999-09-02T00:00:00,26065.0,
8483,8483,1999-08-13T00:00:00,1999-09-02T00:00:00,26104.0,
8569,8569,1999-08-13T00:00:00,1999-09-02T00:00:00,35536.0,
8621,8621,1999-08-13T00:00:00,1999-09-02T00:00:00,27175.0,
8630,8630,1999-08-13T00:00:00,1999-09-02T00:00:00,27432.0,
