charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
808962,8814,431,7,1999-07-24T10:44:17,4733.0,8814,
740561,9765,305,7,1999-08-24T10:46:44,3019.0,19765,
868420,4681,461,4,1999-06-28T10:48:53,3454.0,4681,
1358980,7416,427,4,1999-08-23T10:48:08,4954.0,17416,
1971795,5465,299,4,1999-08-12T10:49:08,1809.0,5465,
1159478,8947,474,2,1999-07-01T10:48:10,3354.0,8947,
1739234,8734,491,7,1999-09-20T10:46:38,3615.0,28734,
1558092,9976,469,4,1999-09-14T10:48:04,1816.0,29976,
1136023,9358,460,5,1999-08-13T10:46:24,4312.0,19358,
1028401,8996,435,9,1999-06-21T10:45:48,2307.0,8996,
1031685,9379,395,3,1999-09-11T10:46:02,2771.0,19379,
1066570,9830,266,9,1999-10-08T10:48:44,1591.0,29830,
1955666,6151,451,7,1999-09-18T10:47:54,4831.0,26151,
597266,7625,404,3,1999-06-26T10:51:08,4571.0,7625,
1859998,5222,386,7,1999-09-18T10:48:13,3899.0,25222,
573203,9204,305,3,1999-08-23T10:49:15,699.0,19204,
1984290,8422,497,7,1999-08-18T10:50:07,4344.0,18422,
567232,7702,499,7,1999-08-22T10:48:47,4467.0,17702,
566216,9900,488,8,1999-06-19T10:48:42,2086.0,9900,
885416,8784,442,5,1999-09-09T10:50:12,3879.0,18784,
947909,9210,497,6,1999-07-27T10:47:18,550.0,9210,
918195,9399,494,10,1999-08-05T10:44:59,4828.0,9399,
1394362,9865,312,5,1999-09-16T10:50:54,2715.0,29865,
1427504,9617,500,9,1999-08-22T10:45:43,1967.0,19617,
1057864,9926,477,2,1999-09-24T10:48:03,718.0,29926,
1000233,4368,493,7,1999-08-02T10:43:39,1072.0,4368,
1180843,7789,498,9,1999-10-02T10:49:51,384.0,27789,
730357,7679,452,6,1999-06-24T10:45:56,317.0,7679,
1186357,7089,499,5,1999-09-02T10:50:16,4936.0,17089,
1006577,2929,446,5,1999-06-29T10:44:06,4407.0,2929,
1236495,8851,386,9,1999-09-09T10:46:26,3440.0,18851,
609328,9808,492,8,1999-06-20T10:44:19,612.0,9808,
899106,8746,463,8,1999-10-09T10:51:16,3255.0,28746,
1793828,8766,492,5,1999-06-21T10:50:51,45.0,8766,
1057594,9979,405,7,1999-10-08T10:48:02,4116.0,29979,
625594,9763,368,10,1999-06-21T10:45:35,2176.0,9763,
1543859,5429,355,5,1999-07-20T10:46:59,1581.0,5429,
1998309,8265,454,2,1999-08-05T10:51:12,886.0,8265,
1202832,9367,321,5,1999-08-22T10:43:50,4658.0,19367,
655632,4460,409,2,1999-08-20T10:47:53,4026.0,14460,
1108011,8902,276,2,1999-10-04T10:44:13,3603.0,28902,
1227424,7746,495,10,1999-07-20T10:45:43,375.0,7746,
1245350,3226,450,4,1999-09-20T10:47:07,4322.0,23226,
830778,8461,500,5,1999-09-24T10:45:58,194.0,28461,
1084921,8691,440,5,1999-08-23T10:50:10,1123.0,18691,
1960687,6428,490,2,1999-07-05T10:48:16,805.0,6428,
1007474,7013,485,2,1999-06-24T10:44:10,4510.0,7013,
995321,3184,481,4,1999-09-25T10:50:58,187.0,23184,
898305,9503,436,8,1999-10-08T10:51:12,4618.0,29503,
1631837,8392,265,3,1999-07-12T10:46:03,593.0,8392,
1355737,9981,485,9,1999-09-27T10:47:54,3428.0,29981,
1224571,9547,500,7,1999-07-07T10:45:30,183.0,9547,
793976,5164,469,9,1999-08-02T10:50:52,3642.0,5164,
1000323,9508,394,8,1999-10-05T10:43:39,3184.0,29508,
1915235,3666,481,2,1999-07-24T10:44:45,955.0,3666,
732535,6517,494,5,1999-08-21T10:46:08,3290.0,16517,
77585,6036,480,2,1999-07-25T10:49:36,4414.0,6036,
1215221,9464,366,3,1999-08-10T10:44:45,1868.0,9464,
594709,9719,337,5,1999-06-26T10:50:56,3617.0,9719,
1856958,9908,467,10,1999-07-06T10:48:00,641.0,9908,
94735,8239,500,5,1999-09-01T10:50:56,2609.0,18239,
516084,9105,431,7,1999-08-21T10:44:50,2226.0,19105,
1310509,9893,492,6,1999-08-25T10:44:24,169.0,19893,
1561374,5620,450,10,1999-08-17T10:48:19,4329.0,15620,
1955359,9196,280,5,1999-07-23T10:47:52,938.0,9196,
501774,9798,394,3,1999-07-21T10:43:45,3104.0,9798,
599658,8589,499,9,1999-09-16T10:51:18,4144.0,28589,
946521,8689,500,2,1999-09-10T10:47:12,4263.0,18689,
1205966,7801,492,3,1999-07-13T10:44:04,243.0,7801,
505803,9315,476,3,1999-08-03T10:44:03,1540.0,9315,
585614,4531,424,10,1999-08-31T10:50:13,4005.0,14531,
655396,7104,494,3,1999-09-14T10:47:52,65.0,27104,
1777556,8892,499,10,1999-06-30T10:49:35,684.0,8892,
905131,9583,455,8,1999-06-21T10:44:00,499.0,9583,
507308,4644,351,5,1999-08-13T10:44:10,2520.0,14644,
15238,4937,461,6,1999-07-13T10:44:45,4364.0,4937,
1699128,4834,498,5,1999-07-07T10:51:16,4880.0,4834,
765101,8781,262,9,1999-10-09T10:48:37,2005.0,28781,
1455568,8449,439,10,1999-09-03T10:47:53,2208.0,18449,
1591757,9993,500,8,1999-07-16T10:50:41,1805.0,9993,
1226957,9114,472,9,1999-09-01T10:45:41,1957.0,19114,
1812483,9480,489,3,1999-10-10T10:44:33,3814.0,29480,
1315104,6526,456,6,1999-10-07T10:44:45,2325.0,26526,
76656,7121,166,8,1999-08-10T10:49:31,2654.0,7121,
1708031,8677,488,9,1999-07-29T10:44:13,2270.0,8677,
1801270,9934,472,5,1999-10-11T10:43:43,1391.0,29934,
1548897,1566,478,7,1999-08-31T10:47:23,2094.0,11566,
1437017,9990,499,10,1999-08-18T10:46:28,4813.0,19990,
981017,9424,461,9,1999-10-03T10:49:52,974.0,29424,
1015567,9782,428,9,1999-09-12T10:44:47,4459.0,19782,
584700,9730,495,8,1999-09-15T10:50:09,1217.0,29730,
1544026,5554,382,3,1999-09-29T10:47:01,4897.0,25554,
