constructorresultsid,raceid,constructorid,points,status
13390,527,34,6.0,
13410,528,25,1.0,
6095,489,6,9.0,
1502,161,3,5.0,
1023,116,15,1.0,
13492,532,34,0.0,
13235,550,6,4.0,
10937,703,6,4.0,
1150,128,19,0.0,
176,35,4,8.0,
2905,281,29,1.0,
10946,704,183,4.0,
13102,573,63,0.0,
2061,211,21,0.0,
13535,535,27,0.0,
6184,494,21,0.0,
9921,760,169,0.0,
15233,950,3,9.0,
9652,773,118,8.0,
6108,489,21,0.0,
5012,417,39,0.0,
1890,196,15,0.0,
10398,737,172,2.0,
12380,593,1,4.0,
2876,279,22,6.0,
4664,393,3,15.0,
5493,450,54,0.0,
441,59,11,5.0,
11121,695,189,0.0,
2014,207,24,0.0,
13649,542,21,3.0,
14587,879,10,10.0,
2366,240,6,6.0,
334,49,7,0.0,
4541,385,37,0.0,
13442,530,32,6.0,
5498,451,34,1.0,
1778,186,3,2.0,
14546,875,206,0.0,
1075,121,17,0.0,
1114,125,16,0.0,
713,85,15,0.0,
864,100,4,0.0,
12910,561,6,9.0,
5906,477,34,0.0,
115,29,6,10.0,
3244,305,1,10.0,
1272,140,3,3.0,
2981,287,17,3.0,
13115,574,64,0.0,
379,53,2,0.0,
1280,141,6,14.0,
1923,199,18,0.0,
643,78,9,3.0,
2965,285,17,0.0,
15300,956,210,6.0,
2825,275,32,3.0,
31,20,10,0.0,
12865,587,74,0.0,
3387,312,42,0.0,
15450,970,6,28.0,
4381,376,42,0.0,
12603,579,1,4.5,
14923,910,5,2.0,
2448,246,18,0.0,
15496,974,10,0.0,
1364,148,18,0.0,
3761,333,27,0.0,
11815,653,86,0.0,
15467,971,5,0.0,
12170,631,34,0.0,
11165,680,191,9.0,
11918,640,66,9.0,
4078,360,27,0.0,
10329,729,6,4.0,
10593,725,176,0.0,
9904,757,122,0.0,
12464,599,1,6.0,
15454,970,10,3.0,
3597,324,22,0.0,
13589,538,58,0.0,
1223,135,17,0.0,
4655,392,34,0.0,
3521,320,41,0.0,
3150,298,35,0.0,
4930,411,45,0.0,
2098,215,17,2.0,
15380,963,5,0.0,
4129,363,21,0.0,
5096,423,50,0.0,
14885,906,206,0.0,
41,21,10,0.0,
2245,228,28,0.0,
13981,343,166,0.0,
3479,318,6,9.0,
4278,370,48,0.0,
921,106,4,4.0,
3420,314,36,0.0,
3212,302,37,0.0,
14509,872,164,0.0,
5608,458,55,0.0,
10917,700,176,0.0,
6282,500,25,0.0,
13692,513,60,0.0,
4647,391,45,0.0,
3075,293,6,0.0,
14706,891,9,35.0,
11916,639,25,0.0,
2080,213,21,0.0,
13970,342,15,0.0,
15165,941,206,0.0,
1849,192,25,0.0,
13871,525,32,0.0,
2924,282,26,0.0,
5720,465,45,0.0,
1393,151,15,3.0,
