qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429
3912,115,2,15,9,12,1:17.086,,
4701,847,10,166,24,22,1:18.537,,
7087,966,18,1,22,13,1:21.333,1:20.673,
391,37,13,6,5,1,1:35.340,1:34.454,1:35.043
5842,899,1,131,10,5,1:25.342,1:26.698,1:27.677
1653,177,68,21,15,20,1:29.656,,
1885,210,77,22,8,11,1:25.371,,
2098,227,14,1,8,6,1:20.888,,
6297,918,8,6,7,7,1:42.439,1:42.168,1:42.236
7395,981,825,210,20,16,1:40.489,,
5528,883,823,207,21,21,1:36.304,,
1877,210,30,6,5,3,1:23.955,,
3895,114,2,15,9,14,1:17.176,,
6854,955,18,1,22,19,1:45.804,,
4973,860,813,3,18,8,1:26.803,1:26.206,1:25.908
4299,100,47,18,21,19,1:24.117,,
6167,912,824,206,17,20,1:27.738,,
2450,251,14,3,6,1,1:24.462,,
7288,976,13,3,19,9,1:43.165,1:42.735,1:42.798
3501,344,9,4,11,8,1:16.370,1:15.682,1:15.715
6948,960,20,6,5,4,1:47.802,1:47.944,1:47.108
6529,938,822,3,77,6,1:24.979,1:24.313,1:24.127
2339,246,65,22,2,10,1:19.555,,
121,23,2,2,3,13,1:16.650,1:16.455,
1849,208,78,15,17,19,1:18.644,,
7361,980,20,6,5,2,1:44.275,1:43.987,1:42.795
2392,248,97,29,9,15,1:48.093,,
937,61,33,13,18,19,1:17.121,,
5573,885,13,6,4,22,,,
5694,892,8,208,7,11,1:24.819,1:24.610,
7346,979,807,4,27,7,1:18.137,1:17.655,1:17.468
7239,973,826,5,26,20,1:22.746,,
2407,249,55,6,27,6,1:18.968,,
7167,970,815,10,11,8,1:34.657,1:33.920,1:33.706
4831,854,16,10,14,9,1:47.952,1:47.093,
4137,92,4,4,8,17,1:34.130,,
5958,903,818,5,25,9,1:57.477,1:56.584,1:56.773
2952,271,44,27,26,19,1:40.042,,
6940,959,836,209,94,18,1:16.717,,
3018,2,1,1,1,13,1:35.280,1:34.905,
6973,961,815,10,11,8,1:23.439,1:22.922,1:22.814
3793,108,15,4,7,12,1:29.136,,
3089,6,20,9,15,4,1:15.915,1:14.879,1:15.271
1291,84,18,16,3,13,1:30.063,,
5713,893,18,1,5,8,1:45.009,1:44.497,1:44.282
4469,73,8,1,9,9,1:30.594,1:32.930,
988,64,18,11,12,4,1:15.869,1:14.378,1:14.862
953,62,26,5,21,13,1:13.167,1:12.792,
721,52,13,6,5,1,1:12.303,1:12.374,1:11.931
6500,936,828,15,9,17,1:24.843,,
2110,227,21,18,21,18,1:22.921,,
1704,193,23,17,10,5,1:26.827,,
7086,966,815,10,11,12,1:20.308,1:20.287,
3868,113,18,16,17,7,1:09.935,,
738,52,11,8,22,18,1:14.098,,
2484,252,44,27,26,11,1:22.904,,
1287,84,23,7,17,9,1:28.594,,
1694,192,68,25,21,17,1:20.203,,
4064,123,44,7,20,4,1:32.862,,
6459,933,815,10,11,16,1:12.522,,
4573,842,67,5,18,12,1:37.693,1:37.160,
430,38,24,5,18,18,1:34.024,,
4047,122,30,6,1,7,1:12.194,,
631,47,18,11,7,21,1:28.373,1:28.220,
6567,940,20,6,5,4,1:34.431,1:33.844,1:33.245
1744,200,21,22,5,1,1:29.598,,
