raceid,driverid,stop,lap,time,duration,milliseconds
953,3,2,31,14:54:34,27.680,27680
895,814,1,10,15:20:37,23.476,23476
859,814,2,40,14:56:27,21.767,21767
843,3,2,25,15:47:13,22.005,22005
944,817,1,3,14:07:06,23.937,23937
893,1,1,15,20:32:41,29.032,29032
845,153,1,11,14:20:28,20.741,20741
970,828,3,5,14:16:02,17.344,17344
950,822,3,30,14:58:55,22.747,22747
901,18,1,13,16:27:49,24.841,24841
941,817,1,12,14:27:08,29.732,29732
890,818,1,8,14:15:51,22.745,22745
886,16,1,9,14:15:30,22.789,22789
850,5,1,26,14:47:26,22.088,22088
934,13,1,20,13:38:21,29.369,29369
864,1,1,14,14:24:59,21.963,21963
884,814,4,53,15:24:38,19.481,19481
890,4,1,12,14:21:21,21.599,21599
879,37,3,50,15:17:24,25.375,25375
978,8,1,24,13:45:53,28.476,28476
970,815,3,5,14:15:49,17.312,17312
874,1,1,16,15:31:39,21.148,21148
969,832,1,18,16:33:49,21.762,21762
890,821,1,23,14:38:18,22.425,22425
939,3,1,13,20:28:30,30.562,30562
982,13,5,24,21:01:38,30.048,30048
979,4,1,35,14:55:33,22.399,22399
894,820,2,30,15:59:21,26.299,26299
936,815,1,16,14:30:25,22.068,22068
958,835,2,39,15:00:49,21.665,21665
936,817,3,45,15:14:58,18.270,18270
900,824,1,20,17:54:48,23.821,23821
884,821,2,28,14:46:47,19.988,19988
845,155,3,44,15:11:40,20.500,20500
857,18,1,18,15:31:05,21.092,21092
870,5,2,36,15:00:48,21.855,21855
915,817,1,11,15:23:27,30.006,30006
937,13,2,21,14:48:52,23.655,23655
873,20,1,10,20:23:17,29.117,29117
886,822,1,14,14:22:18,22.242,22242
962,832,4,48,21:37:18,29.377,29377
853,10,2,38,15:04:43,22.784,22784
873,814,1,12,20:27:23,31.026,31026
906,20,2,36,14:56:46,23.340,23340
950,821,1,19,14:39:57,23.878,23878
960,154,3,23,15:09:21,23.107,23107
953,807,1,15,14:29:11,25.215,25215
907,3,1,11,14:16:41,21.474,21474
882,815,1,24,15:46:14,19.969,19969
972,20,1,34,16:04:56,30.097,30097
873,807,3,50,21:48:19,34.601,34601
906,18,2,38,14:59:46,25.050,25050
958,18,2,10,14:18:47,16.486,16486
859,24,1,21,14:32:06,22.666,22666
936,817,2,42,15:09:07,22.008,22008
886,813,3,49,15:10:14,21.637,21637
884,823,2,20,14:34:59,22.029,22029
888,17,2,23,14:44:15,19.991,19991
858,15,2,42,18:20:55,20.791,20791
956,836,2,23,14:31:36,23.738,23738
901,822,1,14,16:29:48,25.020,25020
883,822,3,47,16:24:37,23.837,23837
901,16,1,11,16:24:25,25.998,25998
869,814,2,39,14:57:08,17.968,17968
844,17,1,10,15:19:04,21.050,21050
868,811,2,30,13:53:19,26.573,26573
872,819,1,18,14:31:32,24.039,24039
886,815,1,13,14:21:03,20.427,20427
