raceid,driverid,lap,position,time,milliseconds
27,3,41,10,1:54.550,114550
68,13,41,9,1:39.850,99850
353,9,8,8,2:40.087,160087
53,11,27,19,1:40.372,100372
173,37,23,15,1:42.195,102195
221,14,40,2,1:20.289,80289
212,56,6,12,1:25.505,85505
929,813,33,9,1:40.788,100788
37,15,46,7,1:38.495,98495
53,23,56,14,1:34.626,94626
975,807,14,11,1:19.241,79241
86,27,39,14,2:05.768,125768
212,55,58,3,1:25.289,85289
851,10,35,18,1:30.008,90008
948,815,13,6,1:34.302,94302
908,20,40,6,1:39.382,99382
855,814,1,8,1:46.673,106673
46,3,61,7,1:22.195,82195
136,31,10,7,1:20.408,80408
118,50,45,16,1:27.525,87525
224,14,7,17,1:39.830,99830
182,68,35,17,1:33.367,93367
8,21,58,10,1:22.934,82934
954,8,52,5,1:18.265,78265
174,22,50,3,1:41.028,101028
888,818,22,16,1:50.545,110545
28,17,7,8,1:24.244,84244
896,20,9,6,1:32.610,92610
846,816,2,21,1:25.547,85547
170,48,17,15,1:57.965,117965
173,14,37,3,1:42.485,102485
846,15,22,14,1:23.571,83571
212,21,54,8,1:23.589,83589
161,57,15,4,1:28.789,88789
849,13,48,5,1:35.915,95915
161,25,44,14,1:30.330,90330
136,63,59,13,1:20.933,80933
346,18,3,8,1:38.808,98808
135,63,26,14,1:20.803,80803
213,71,12,16,1:24.532,84532
68,23,33,17,1:41.656,101656
195,68,49,14,1:29.590,89590
848,155,20,15,1:46.750,106750
96,18,40,4,1:32.046,92046
122,51,48,8,1:16.498,76498
81,18,59,5,1:22.956,82956
35,4,59,2,1:15.063,75063
136,8,23,7,1:18.271,78271
157,57,44,3,1:39.887,99887
849,808,4,15,1:55.440,115440
933,828,55,13,1:12.626,72626
68,13,25,6,1:43.156,103156
34,18,37,14,1:38.818,98818
958,822,25,11,1:27.446,87446
878,813,9,14,1:45.872,105872
108,49,35,3,1:29.096,89096
952,8,7,5,1:31.916,91916
66,29,15,16,1:59.972,119972
943,817,56,5,2:03.582,123582
54,22,40,12,1:37.193,97193
861,4,25,1,2:00.310,120310
150,8,12,8,1:18.397,78397
850,18,17,6,1:38.945,98945
186,35,27,16,2:14.634,134634
179,68,7,19,1:29.184,89184
145,58,40,17,1:28.453,88453
198,30,68,1,1:20.982,80982
91,45,43,14,1:40.316,100316
88,14,45,6,1:51.387,111387
95,15,36,1,1:17.038,77038
128,49,64,6,1:23.342,83342
906,8,24,12,1:21.109,81109
928,4,16,15,1:46.563,106563
916,822,10,4,1:44.352,104352
15,20,23,1,1:33.741,93741
145,2,60,7,1:25.623,85623
913,815,8,14,1:56.446,116446
952,837,50,18,1:29.910,89910
905,821,36,11,1:21.605,81605
894,8,33,3,2:22.512,142512
25,16,58,19,1:19.710,79710
955,154,6,9,1:52.052,112052
99,13,1,14,1:26.436,86436
866,20,59,2,1:18.282,78282
189,70,15,13,1:44.838,104838
341,153,56,11,1:26.097,86097
867,39,25,22,1:48.069,108069
99,22,50,4,1:16.035,76035
106,18,26,3,1:34.462,94462
57,2,21,8,1:34.789,94789
894,813,9,14,1:47.729,107729
117,23,68,1,1:17.774,77774
14,4,7,5,1:50.016,110016
180,56,56,5,1:21.068,81068
847,155,18,3,1:36.117,96117
52,9,51,6,1:13.970,73970
143,60,51,11,1:34.118,94118
977,13,32,9,1:10.355,70355
24,7,61,13,1:21.840,81840
849,813,16,15,1:42.695,102695
70,26,26,10,1:15.057,75057
22,4,1,5,1:57.681,117681
886,813,57,17,1:20.422,80422
55,27,37,14,1:40.542,100542
208,56,67,17,1:22.472,82472
