targetid,raceid,driverid,win
53177,633,333,0
62311,761,542,0
52145,807,638,0
59143,505,224,0
57725,542,242,0
63836,341,20,0
56447,589,182,1
11023,222,23,0
44164,818,501,0
10767,212,63,0
49376,772,513,0
63662,727,444,0
65119,867,39,0
19868,401,133,0
67955,964,18,0
55342,592,221,0
66620,900,818,0
62314,761,465,0
1491,84,27,0
59101,503,227,0
59289,509,119,0
62507,764,552,0
5074,226,63,0
16259,331,140,0
20950,434,181,0
43966,830,756,0
11698,155,56,0
17354,313,57,0
9634,285,100,0
67742,955,825,0
46922,791,479,0
10729,210,23,0
68311,976,826,0
11804,126,49,0
21261,443,179,0
10460,250,90,0
64403,842,813,0
10570,254,49,0
63851,341,811,0
3331,170,2,0
10786,213,35,0
67694,954,832,0
49757,748,437,0
17615,320,88,0
49697,747,404,0
49246,770,537,0
65095,866,39,0
49114,768,598,0
22868,487,175,0
46846,790,528,0
65055,865,815,0
3168,163,23,0
64852,858,808,0
55523,596,252,0
64340,75,25,0
66317,265,107,0
19672,394,118,0
63456,722,376,0
45032,813,525,0
67238,934,826,0
57394,534,212,0
50806,712,401,0
16221,330,81,0
50036,752,506,0
67916,962,838,0
43307,835,677,0
44775,809,628,0
49545,774,593,0
54675,653,207,0
9390,275,119,0
9386,275,55,0
57018,573,255,0
67790,957,18,0
57834,546,256,0
29865,17,15,0
50931,716,408,0
51183,703,380,0
12791,107,21,0
43801,828,629,0
58308,557,172,0
20372,418,163,0
56356,587,232,0
43584,839,526,0
22951,489,177,0
53279,636,338,0
22954,489,213,0
63660,727,374,0
58574,515,137,0
66981,916,821,0
18544,365,159,0
66427,268,77,0
63738,337,13,0
68061,965,839,0
65774,890,823,0
51913,805,554,0
19488,387,141,0
57248,530,187,0
48671,736,445,0
