driverstandingsid,raceid,driverid,points,position,positiontext,wins
49186,770,475,23.0,1,1,2
13950,51,1,107.0,1,1,4
1394,80,40,3.0,21,21,0
44555,823,657,1.0,20,20,0
55636,599,232,1.0,18,18,0
49345,772,356,3.0,17,17,0
58197,555,237,0.0,25,25,0
19442,386,166,0.0,21,21,0
18915,370,160,0.0,38,38,0
52712,686,364,13.0,6,6,1
66032,257,94,0.0,8,8,0
55974,576,243,0.0,13,13,0
64609,851,808,32.0,9,9,0
15971,324,146,0.0,23,23,0
54242,629,305,13.0,7,7,0
10281,244,95,0.0,23,23,0
21296,445,173,29.0,3,3,0
64734,853,37,0.0,20,20,0
55462,595,222,12.0,4,4,0
6947,294,81,0.0,18,18,0
22273,473,177,17.0,4,4,0
46684,788,608,7.5,6,6,0
46974,791,541,4.0,13,13,0
15871,321,110,0.0,21,21,0
50989,718,347,3.0,15,15,0
57670,541,230,1.0,19,19,0
52541,680,347,0.0,21,21,0
19803,399,166,4.0,13,13,0
53762,674,359,0.0,29,29,0
54472,648,356,19.0,3,3,1
11113,178,70,0.0,17,17,0
43578,839,555,0.0,37,37,0
19568,390,170,0.0,23,23,0
54853,608,290,1.0,11,11,0
62261,761,552,0.0,63,63,0
13110,66,26,0.0,19,19,0
49954,751,479,3.0,15,15,0
58171,554,235,0.0,32,32,0
13093,65,35,7.0,14,14,0
10399,248,96,2.0,14,14,0
13149,68,30,116.0,1,1,7
51056,699,417,0.0,31,31,0
18513,364,92,0.0,30,30,0
58346,557,268,0.0,45,45,0
22744,483,202,0.0,10,10,0
65960,899,1,189.0,4,4,1
51332,706,334,0.0,46,46,0
51829,804,681,0.0,71,71,0
6822,291,128,0.0,20,20,0
44896,811,659,0.0,67,67,0
66373,267,94,4.0,19,19,0
21047,437,137,0.0,19,19,0
65347,873,815,66.0,9,9,0
12333,120,8,70.0,3,3,1
43405,837,579,17.0,3,3,2
51426,708,358,4.0,13,13,0
62424,763,552,0.0,65,65,0
58992,500,203,0.0,22,22,0
51885,805,655,0.0,37,37,0
66113,259,110,0.0,25,25,0
63456,722,376,0.0,21,21,0
7237,304,104,1.0,18,18,0
57242,530,239,0.0,21,21,0
54172,627,329,0.0,25,25,0
47258,781,514,0.0,32,32,0
64698,841,16,2.0,9,9,0
67006,917,824,2.0,17,17,0
1478,84,17,24.0,10,10,0
44395,821,632,2.0,17,17,0
47195,780,512,0.0,36,36,0
65031,864,815,22.0,10,10,0
68244,973,815,34.0,7,7,0
53384,639,338,0.0,39,39,0
16405,335,95,31.0,6,6,1
52688,685,386,0.0,35,35,0
47376,783,606,1.0,21,21,0
48877,695,401,0.0,27,27,0
22384,476,105,10.0,10,10,0
58754,521,209,0.0,22,22,0
63371,719,439,0.0,23,23,0
51939,805,690,0.0,93,93,0
52138,807,799,0.0,59,59,0
