constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
6085,118,17,11.0,7,7,1
11219,492,53,0.0,17,17,0
7856,333,34,2.0,10,10,0
9809,412,1,60.0,2,2,2
10064,426,53,0.0,14,14,0
24007,513,32,12.0,2,2,0
6416,62,4,131.0,1,1,7
20448,705,183,15.0,4,4,0
5042,240,27,0.0,6,6,0
20861,687,167,24.0,3,3,1
24744,858,4,72.0,5,5,0
22892,562,66,0.0,17,17,0
26755,971,9,47.0,3,3,0
6246,100,18,1.0,10,10,0
9146,371,45,0.0,17,17,0
9552,395,34,4.0,8,8,0
24784,861,131,1.0,9,9,0
9126,370,45,0.0,17,17,0
5840,128,3,43.0,2,2,1
23121,574,70,0.0,16,16,0
26722,968,131,765.0,1,1,19
22336,598,58,6.0,7,7,0
18899,762,95,0.0,9,9,0
8492,318,36,0.0,17,17,0
22169,616,6,12.0,5,5,0
4664,275,17,0.0,11,11,0
8353,311,3,45.0,2,2,2
24019,514,58,0.0,9,9,0
23118,574,57,2.0,12,12,0
26389,942,9,150.0,4,4,0
25812,43,2,48.0,2,2,0
21050,675,26,0.0,13,13,0
9589,398,3,106.0,1,1,7
23328,554,64,0.0,13,13,0
17829,773,118,41.0,1,1,4
22886,562,3,0.0,13,13,0
5969,139,17,7.0,8,8,0
26123,917,5,30.0,7,7,0
11342,500,57,0.0,12,12,0
10081,428,1,46.0,2,2,3
21721,636,199,0.0,10,10,0
25068,875,5,21.0,9,9,0
8449,316,29,0.0,18,18,0
2587,239,29,1.0,9,9,0
22020,631,34,7.0,9,9,0
10485,452,6,2.0,4,4,0
21342,662,6,4.0,5,5,0
23286,552,59,32.0,4,4,2
21676,632,180,3.0,3,3,0
20672,694,188,1.0,9,9,0
24123,520,51,0.0,15,15,0
5043,240,30,0.0,7,7,0
5050,241,27,0.0,6,6,0
5170,250,18,0.0,10,10,0
7731,326,35,0.0,14,14,0
10900,477,4,38.0,3,3,3
24479,353,5,11.0,9,9,0
22546,581,75,0.0,12,12,0
5073,243,27,1.0,7,7,0
22256,593,77,0.0,13,13,0
1541,166,21,3.0,9,9,0
22899,563,59,0.0,13,13,0
10801,471,25,10.0,5,5,0
9523,393,45,0.0,14,14,0
8586,4,3,3.5,8,8,0
6467,66,2,26.0,6,6,0
21568,646,34,17.0,2,2,1
25,20,9,4.0,7,7,0
23105,573,66,0.0,19,19,0
24364,347,6,208.0,3,3,2
21682,633,34,0.0,8,8,0
6423,62,2,19.0,5,5,0
8594,5,7,26.5,3,3,0
21664,655,37,48.0,3,3,1
21875,606,37,0.0,8,8,0
9425,387,21,23.0,5,5,0
5949,138,6,189.0,1,1,13
22430,603,76,0.0,19,19,0
4638,273,18,3.0,4,4,0
19929,728,94,6.0,6,6,0
10307,441,21,3.0,8,8,0
2418,224,3,16.0,1,1,1
10092,428,3,24.0,4,4,1
5595,189,22,16.0,6,6,0
21071,677,6,32.0,4,4,1
22269,594,80,1.0,9,9,0
9453,389,1,16.0,2,2,1
132,30,5,17.0,8,8,0
20104,713,176,3.0,6,6,0
2149,200,15,4.0,7,7,0
20906,689,180,44.0,2,2,4
24256,339,6,76.0,1,1,1
10408,448,3,25.5,6,6,1
26127,917,207,0.0,11,11,0
11036,483,3,15.0,1,1,1
5857,129,15,8.0,5,5,0
11433,506,27,48.0,2,2,2
37,21,11,3.0,8,8,0
