resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
22279,906,155,207,10,21,,R,18,0.0,23,,,20.0,19.0,1:23.130,188.856,22
9269,398,105,6,27,8,,R,23,0.0,13,,,,,,,101
8199,364,127,37,15,14,,R,16,0.0,28,,,,,,,6
2049,116,14,1,5,9,15.0,15,15,0.0,56,,,,,,,14
22913,945,4,1,14,16,17.0,17,17,0.0,53,,,52.0,3.0,1:44.796,190.793,12
14200,577,197,202,17,1,,R,16,0.0,32,,,,,,,69
3304,175,56,6,4,6,1.0,1,1,10.0,57,1:35:01.659,5701659.0,,,,,1
16407,668,306,196,6,5,5.0,5,5,2.0,81,,,,,,,19
2753,149,44,16,9,13,,R,21,0.0,23,,,,,,,10
21640,877,8,208,9,4,1.0,1,1,25.0,55,1:45:58.667,6358667.0,50.0,3.0,1:44.458,191.410,1
13899,566,232,37,35,19,14.0,14,14,0.0,70,,,,,,,5
21382,866,17,9,2,4,7.0,7,7,6.0,70,+15.085,5564671.0,62.0,8.0,1:17.131,203.544,1
17645,729,457,95,15,10,,R,20,0.0,2,,,,,,,3
10349,440,184,52,21,24,,R,15,0.0,61,,,,,,,5
9275,399,117,1,1,3,1.0,1,1,9.0,70,1:37:03.906,5823906.0,,,,,1
8796,381,122,37,16,4,,R,25,0.0,5,,,,,,,5
265,30,21,10,21,20,17.0,17,17,0.0,43,,,17.0,19.0,1:51.701,225.731,11
6755,313,84,34,7,15,11.0,11,11,0.0,43,,,,,,,12
10426,443,182,1,8,10,,R,13,0.0,33,,,,,,,10
19350,804,643,105,8,17,,R,18,0.0,2,,,,,,,95
22677,933,1,131,44,1,2.0,2,2,18.0,71,+8.800,5425730.0,60.0,2.0,1:11.475,217.888,1
20513,344,811,164,21,22,,R,23,0.0,14,,,5.0,23.0,1:24.524,185.741,9
3139,167,60,18,21,22,12.0,12,12,0.0,68,,,,,,,13
4649,236,73,29,16,18,9.0,9,9,0.0,43,,,,,,,11
15787,638,347,1,27,0,,F,23,0.0,0,,,,,,,81
4195,215,76,24,23,16,,R,13,0.0,50,,,,,,,5
1965,112,51,18,18,18,11.0,11,11,0.0,63,,,,,,,12
9829,420,118,4,16,10,10.0,10,10,0.0,57,,,,,,,14
2979,160,35,16,22,9,5.0,5,5,2.0,61,,,,,,,11
8849,383,166,39,14,23,,R,16,0.0,31,,,,,,,8
11296,474,194,54,10,24,,R,18,0.0,20,,,,,,,5
12794,527,223,58,17,16,15.0,15,15,0.0,51,,,,,,,11
19318,803,554,128,17,5,,R,18,0.0,54,,,,,,,22
15680,634,280,200,27,13,8.0,8,8,0.0,77,,,,,,,13
23007,952,20,6,5,6,3.0,3,3,15.0,66,+5.581,6105598.0,39.0,2.0,1:27.974,190.488,1
22184,902,826,5,26,12,11.0,11,11,0.0,57,+41.342,6024085.0,12.0,15.0,1:40.160,194.520,1
21771,882,819,207,20,20,16.0,16,16,0.0,55,,,48.0,17.0,1:41.997,192.393,11
5937,286,83,32,11,18,,R,17,0.0,61,,,,,,,20
