playerid,award,year,lgid,note,pos
durnabi01,First Team All-Star,1948,NHL,,G
laperja01,Second Team All-Star,1963,NHL,,D
lemiecl01,Conn Smythe,1994,NHL,,
thomati01,Conn Smythe,2010,NHL,,
gretzwa01,Second Team All-Star,1988,NHL,,C
gretzwa01,Second Team All-Star,1996,NHL,,C
desjaer01,Second Team All-Star,1998,NHL,,D
parenbe01,Vezina,1973,NHL,tie,
malonjo01,Art Ross,1919,NHL,,
smithbi01,Jennings,1982,NHL,shared,
lindrer01,First Team All-Star,1994,NHL,,C
hallgl01,First Team All-Star,1963,NHL,,G
barrato01,Calder,1983,NHL,,
backsra01,Calder,1958,NHL,,
keithdu01,Norris,2009,NHL,,
drydeke01,Second Team All-Star,1971,NHL,,G
thomati01,Vezina,2010,NHL,,
peetepe01,First Team All-Star,1982,NHL,,G
goodfeb01,Hart,1939,NHL,,
yzermst01,Conn Smythe,1997,NHL,,
dahlscu01,Calder,1937,NHL,,
datsypa01,Second Team All-Star,2008,NHL,,C
shawbr01,All-Rookie,1989,NHL,,D
jacksbu01,First Team All-Star,1934,NHL,,LW
charazd01,Messier,2010,NHL,,
skinnje01,Calder,2010,NHL,,
reardke01,First Team All-Star,1949,NHL,,D
carlyra01,Norris,1980,NHL,,
thornjo01,First Team All-Star,2005,NHL,,C
hossama01,All-Rookie,1998,NHL,,F
brodatu01,Vezina,1940,NHL,,
kellyre01,First Team All-Star,1950,NHL,,D
keonda01,Second Team All-Star,1961,NHL,,C
bourqra01,King Clancy,1991,NHL,,
alfreda01,King Clancy,2011,NHL,,
prongch01,Plus-Minus,1999,NHL,,
tardima01,Howe,1977,WHA,MVP,
esposph01,Art Ross,1972,NHL,,
morride01,All-Rookie,1997,NHL,,D
carsoji01,All-Rookie,1986,NHL,,C
coffepa01,First Team All-Star,1988,NHL,,D
abelsi01,Second Team All-Star,1950,NHL,tie,C
lachel01,Art Ross,1944,NHL,,
stevesc01,Plus-Minus,1993,NHL,,
sawchte01,First Team All-Star,1951,NHL,,G
gonchse01,Second Team All-Star,2001,NHL,,D
yzermst01,Pearson,1988,NHL,,
laflegu01,Pearson,1977,NHL,,
antonmi01,Second Team All-Star,1976,WHA,,LW
prattba01,Hart,1943,NHL,,
orrbo01,First Team All-Star,1969,NHL,,D
stanowa01,First Team All-Star,1940,NHL,,D
bowerjo01,Vezina,1960,NHL,,
lidstni01,Norris,2005,NHL,,
cournyv01,Second Team All-Star,1968,NHL,,RW
brodema01,First Team All-Star,2006,NHL,,G
perryco01,First Team All-Star,2010,NHL,,RW
burepa01,Richard,2000,NHL,,
cavalpa01,Plus-Minus,1989,NHL,,
jagrja01,First Team All-Star,1994,NHL,,RW
