year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1952,NHL,MTL,12,8,4,0,34,23,118,,,,,,,
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
1922,NHL,OTS,2,1,1,0,3,2,8,,,,,,,
1996,NHL,DAL,7,3,4,0,18,21,136,0,3,40,1,6,34,1
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
1968,NHL,NYR,4,0,4,0,7,16,38,,1,,0,5,,0
1998,NHL,SJS,6,2,4,0,17,19,102,0,7,41,1,7,42,2
1994,NHL,PHI,15,10,5,0,50,43,186,2,9,70,1,15,66,3
2010,NHL,PIT,7,3,4,0,14,22,82,0,1,35,1,8,27,0
1983,NHL,NYI,21,12,9,0,62,60,405,0,13,81,1,18,101,2
1978,NHL,ATF,2,0,2,0,5,9,129,0,3,13,1,1,10,0
1992,NHL,TOR,21,11,10,0,69,63,413,0,17,104,7,21,90,0
2005,NHL,TBL,5,1,4,0,13,23,125,2,4,31,1,8,24,0
1949,NHL,DET,14,8,6,0,32,28,148,,,,,,,
1987,NHL,DET,16,9,7,0,69,57,550,0,21,80,,20,104,3
1977,WHA,HOU,6,2,4,0,16,29,,,,,,,,
1955,NHL,DET,10,5,5,0,23,28,117,,,,,,,
1937,NHL,BOS,3,0,3,0,3,6,28,,,,,,,
2005,NHL,ANA,16,9,7,0,46,36,267,4,11,102,4,11,96,1
1926,NHL,MTL,4,1,1,2,3,6,30,,,,,,,
1968,NHL,MTL,14,12,2,0,43,26,247,,14,,3,5,,1
1990,NHL,BUF,6,2,4,0,24,29,221,0,6,36,1,9,37,2
2008,NHL,NJD,7,3,4,0,15,17,91,0,3,27,0,2,29,0
1940,NHL,DET,9,4,5,0,17,20,96,,,,,,,
1994,NHL,QUE,6,2,4,0,19,25,89,2,2,25,1,7,29,2
1983,NHL,WIN,3,0,3,0,7,18,76,0,2,10,0,0,8,1
2006,NHL,DET,18,10,8,0,48,35,244,10,19,103,2,12,91,4
1977,NHL,ATF,2,0,2,0,5,8,24,0,0,4,1,3,6,0
1947,NHL,BOS,5,1,4,0,13,20,39,,,,,,,
1972,WHA,MFS,5,1,4,0,16,23,,,4,11,0,7,13,0
1986,NHL,MTL,17,10,7,0,67,54,433,6,16,60,2,11,63,3
2005,NHL,DET,6,2,4,0,17,19,84,0,8,40,0,8,37,0
1972,WHA,CLC,9,5,4,0,33,22,,,9,39,0,8,55,1
1944,NHL,BOS,7,3,4,0,22,22,30,,,,,,,
1982,NHL,CAL,9,4,5,0,30,49,317,2,9,45,5,8,43,2
1969,NHL,PIT,10,6,4,0,23,25,211,,4,,2,9,,0
1929,NHL,OTS,2,0,1,1,3,6,29,,,,,,,
2000,NHL,OTT,4,0,4,0,3,10,48,0,0,16,0,3,13,0
2007,NHL,COL,10,4,6,0,26,33,134,2,10,48,4,10,44,1
1976,NHL,TOR,9,4,5,0,31,29,115,0,14,43,1,8,28,0
1973,NHL,BOS,16,10,6,0,58,44,349,,12,,0,12,,2
1967,NHL,PHI,7,3,4,0,17,17,142,,6,,3,4,,1
1928,NHL,DTC,2,0,2,0,2,7,24,,,,,,,
1975,WHA,HOU,17,8,9,0,56,64,,,,,,,,
1980,NHL,NYI,18,15,3,0,97,48,310,0,31,80,1,19,96,9
2000,NHL,VAN,4,0,4,0,9,16,50,0,4,16,0,5,19,0
1935,NHL,BOS,2,1,1,0,6,8,28,,,,,,,
1972,NHL,BOS,5,1,4,0,11,22,66,,1,,0,4,,1
1969,NHL,CHI,8,4,4,0,26,28,87,,8,,2,8,,0
2000,NHL,PIT,18,9,9,0,38,44,214,2,11,61,3,16,73,1
1983,NHL,CHI,5,2,3,0,14,18,134,0,3,23,1,4,23,1
1978,WHA,CIN,3,1,2,0,10,10,,,,,,,,
1995,NHL,WIN,6,2,4,0,10,20,119,2,0,28,2,8,37,0
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1939,NHL,NYR,12,8,4,0,29,20,137,,,,,,,
1937,NHL,NYR,3,1,2,0,7,8,24,,,,,,,
1972,WHA,LAS,6,2,4,0,16,23,,,4,25,0,9,20,1
1982,NHL,STL,4,1,3,0,10,16,116,0,5,22,0,3,23,0
2003,NHL,TOR,13,6,7,0,27,28,201,0,6,59,1,6,58,0
1967,NHL,CHI,11,5,6,0,28,34,96,,5,,1,8,,1
1981,NHL,NYR,10,5,5,0,39,42,216,4,13,46,4,11,43,0
1987,NHL,CHI,5,1,4,0,17,21,188,0,8,29,,10,38,1
1991,NHL,BOS,15,8,7,0,40,51,254,2,11,61,3,15,77,1
1970,NHL,TOR,6,2,4,0,15,16,147,,3,,1,4,,0
1965,NHL,CHI,6,2,4,0,10,22,75,,,,,,,
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1974,NHL,TOR,7,2,5,0,13,21,108,0,4,36,0,5,20,0
2005,NHL,NJD,9,5,4,0,27,21,140,2,11,58,0,11,45,4
2002,NHL,PHI,13,6,7,0,34,33,152,4,5,50,4,9,50,1
1963,NHL,DET,14,7,7,0,41,40,211,,,,,,,
1990,NHL,STL,13,6,7,0,41,42,421,0,10,80,1,14,67,0
1931,NHL,MTL,4,1,3,0,9,13,48,,,,,,,
1972,NHL,BUF,6,2,4,0,16,21,59,,4,,0,4,,0
1992,NHL,NJD,5,1,4,0,13,23,99,0,4,28,1,7,27,1
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1919,PCHA,SEA,2,1,1,0,7,3,,,,,,,,
1987,NHL,WAS,14,7,7,0,54,50,529,0,14,99,,13,77,4
1994,NHL,BUF,5,1,4,0,13,18,80,0,3,26,1,3,26,1
2005,NHL,NYR,4,0,4,0,4,17,71,2,2,21,3,8,27,0
1985,NHL,MNS,5,2,3,0,20,18,142,2,6,24,1,2,25,1
2005,NHL,CAR,25,16,9,0,73,60,319,8,31,129,2,20,137,2
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1977,NHL,MTL,15,12,3,0,58,29,213,2,14,57,0,6,55,2
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
2011,NHL,NJD,24,14,10,0,59,58,248,0,13,85,2,22,82,1
1996,NHL,PIT,5,1,4,0,13,20,68,0,4,23,2,4,29,2
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
1997,NHL,EDM,12,5,7,0,24,25,245,4,8,72,1,7,67,0
1981,NHL,MNS,4,1,3,0,14,14,145,2,5,25,1,3,18,0
2002,NHL,WAS,6,2,4,0,15,14,88,4,5,27,1,4,27,0
1943,NHL,TOR,5,1,4,0,6,23,48,,,,,,,
1955,NHL,NYR,5,1,4,0,9,24,62,,,,,,,
