playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
johnsra01,,,Randy,Johnston,,Randy John,,72,190,L,13128,7485,johnsra01,1979,1979,,,D,1958,6,2,Canada,ON,Brampton,,,,,,
bradlbr01,,,Brian,Bradley,,Brian Walter Richard,,70,180,R,10152,542,bradlbr01,1985,1997,,,C,1965,1,21,Canada,ON,Kitchener,,,,,,
lyonst01,,,Steve,Lyon,,Steven,,70,169,R,13447,7717,lyonst01,1976,1976,,,R,1952,5,16,Canada,ON,Toronto,,,,,,
orpikbr01,,,Brooks,Orpik,,,,74,219,L,19573,45036,orpikbr01,2002,2011,,,D,1980,9,26,USA,NY,Amherst,,,,,,
harvebu01,,,Buster,Harvey,,Frederick John Charles,,72,185,R,12874,2181,harvebu01,1970,1976,,,R,1950,4,2,Canada,NB,Fredericton,2007,11,25,Canada,NB,Fredericton
sandwte01,,,Terran,Sandwith,,Terran,,76,210,L,15198,4759,sandwte01,1997,1997,,,D,1972,4,17,Canada,AB,Edmonton,,,,,,
caputlu01,,,Luca,Caputi,,,,74,184,L,22316,80260,caputlu01,2008,2010,,,L,1988,10,1,Canada,ON,Toronto,,,,,,
lanemy01,,,Myles,Lane,,Myles J.,,72,180,L,13296,20362,lanemy01,1928,1933,,,D,1905,10,2,USA,MA,Melrose,1987,8,6,USA,NY,New York
rivarfe01,,,Fern,Rivard,,Fernand Joseph,,69,160,L,18677,6854,rivarfe01,1968,1974,,,G,1946,1,18,Canada,QC,Grand'Mere,,,,,,
heronre01,,,Red,Heron,,Robert Geatrex,,71,170,L,12922,14659,heronre01,1938,1941,,,L,1917,12,31,Canada,ON,Toronto,1990,12,14,Canada,ON,Toronto
dillowa01,,,Wayne,Dillon,,Gerald Wayne,Tommy,72,185,L,12463,1364,dillowa01,1975,1979,1973,1978,C,1955,5,25,Canada,ON,Toronto,,,,,,
kuzmige01,,,George,Kuzmicz,,George,,73,200,L,,10259,kuzmige01,,,1974,1975,D,1952,5,24,Canada,QC,Montreal,,,,,,
sicinbo01,,,Bob,Sicinski,,Robert Stanley,,69,175,L,,4950,sicinbo01,,,1972,1976,C,1946,11,13,Canada,ON,Toronto,,,,,,
manerra01,,,Randy,Manery,,Randy Neal,Haystacks,72,185,R,13512,3366,manerra01,1970,1979,,,D,1949,1,10,Canada,ON,Leamington,,,,,,
dacosst01,,,Stephane,Da Costa,,,,71,180,,,,dacosst01,2010,2011,,,R,1989,7,11,France,,Paris,,,,,,
ullstda01,,,David,Ullstrom,,,,74,195,,,,ullstda01,2011,2011,,,L,1989,4,22,,,,,,,,,
richest01,,,Stephane,Richer,,Stephane Joseph Jean,,74,215,R,11376,4558,richest02,1984,2001,,,R,1966,6,7,Canada,QC,Buckingham,,,,,,
smithna01,,,Nakina,Smith,,Dalton Joseph,,70,150,L,14358,13872,smithna01,1943,1943,,,C,1915,7,26,Canada,ON,Cache Bay,1982,,,,,
bogosza01,,,Zach,Bogosian,,,,74,197,R,22673,96505,bogosza01,2008,2011,,,D,1990,7,15,USA,NY,Massena,,,,,,
dunlafr01,,,Frank,Dunlap,,Franklin Egan,Judge/Bill,72,185,L,12509,14580,dunlafr01,1943,1943,,,R,1924,8,10,Canada,ON,Ottawa,1993,12,26,Canada,ON,Ottawa
tappebr01,,,Brad,Tapper,,,,72,185,R,19518,35451,tappebr01,2000,2002,,,R,1978,4,28,Canada,ON,Scarborough,,,,,,
drapekr01,,,Kris,Draper,,Kris Bruce,,70,188,L,10388,1428,drapekr01,1990,2010,,,C,1971,5,24,Canada,ON,Toronto,,,,,,
mcleljo01,mcleljo01c,,John,McLellan,,Daniel John,,71,150,L,13667,11447,mcleljo01,1951,1951,,,C,1928,8,6,Canada,ON,South Porcupine,1979,10,27,Canada,ON,Toronto
denoige01,,,Gerry,Denoird,,Gerald,,70,170,R,12443,29891,denoige01,1922,1922,,,C,1902,8,4,Canada,ON,Toronto,1989,10,8,Canada,ON,Toronto
robermo01,,,Moe,Roberts,,Maurice,,69,165,R,18679,17119,robermo01,1925,1951,,,G,1905,12,13,USA,CT,Waterbury,1975,2,5,,,
jacingr01,,,Greg,Jacina,,,,72,203,R,21618,42350,jacingr01,2005,2006,,,C,1982,5,22,Canada,ON,Guelph,,,,,,
zyuzian01,,,Andrei,Zyuzin,,Andrei,,73,208,L,15191,19374,zyuzian01,1997,2007,,,D,1978,1,21,Russia,,Ufa,,,,,,
creigji01,,,Jimmy,Creighton,,James A.,,69,150,L,12366,21436,creigji01,1930,1930,,,F,1905,11,18,Canada,MB,Brandon,1990,5,29,,,
trebida01,,,Dan,Trebil,,Daniel,,75,210,R,11657,5449,trebida01,1996,2000,,,D,1974,4,10,USA,MN,Bloomington,,,,,,
wolfebe01,,,Bernie,Wolfe,,Bernard Ronald,,69,165,L,18735,5778,wolfebe01,1975,1978,,,G,1951,12,18,Canada,QC,Montreal,,,,,,
turligo01,,,Gord,Turlick,,Gordon,,73,170,L,14583,10795,turligo01,1959,1959,,,L,1939,9,17,Canada,BC,Miskel,,,,,,
jerwajo01,,,Joe,Jerwa,,Joseph Charles,,74,185,L,13101,17104,jerwajo01,1930,1938,,,D,1907,1,20,Canada,AB,Bankhead,1983,4,11,,,
skrbepa01,,,Pavel,Skrbek,,Pavel,,75,217,L,15025,42203,skrbepa01,1998,2001,,,D,1978,8,9,Czech Republic,,Kladno,,,,,,
