year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1971,SCF,G,BOS,NHL,NYR,NHL,4,2,0,18,16,
2005,CSF,I,BUF,NHL,OTT,NHL,4,1,0,16,13,
1987,DSF,A,MTL,NHL,HAR,NHL,4,2,0,23,20,
1978,Pre,D,PIT,NHL,BUF,NHL,2,1,0,9,9,
1967,QF,C,STL,NHL,PHI,NHL,4,3,0,17,17,
1988,DSF,G,CAL,NHL,VAN,NHL,4,3,0,26,20,
1978,ACF,,WIJ,WHA,EDO,WHA,4,2,0,21,26,
1921,SCF,,TRS,NHL,VML,PCHA,3,2,0,16,9,
1968,QF,A,MTL,NHL,NYR,NHL,4,0,0,16,7,
1992,DSF,D,NYI,NHL,WAS,NHL,4,2,0,23,22,
1991,CF,N,CHI,NHL,EDM,NHL,4,0,0,21,8,
1926,QF,B,BOS,NHL,CHI,NHL,1,0,1,10,5,TG
2009,SCF,O,CHI,NHL,PHI,NHL,4,2,0,25,22,
1986,DSF,C,PHI,NHL,NYR,NHL,4,2,0,22,13,
1974,Pre,B,CHI,NHL,BOS,NHL,2,1,0,12,15,
1916,F,,MOC,NHA,OT1,NHA,1,1,0,7,6,TG
1968,QF,D,LAK,NHL,OAK,NHL,4,3,0,23,25,
2007,CQF,H,DAL,NHL,AND,NHL,4,2,0,20,13,
1945,SF,A,MTL,NHL,CHI,NHL,4,0,0,26,7,
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
1985,DF,L,CAL,NHL,EDM,NHL,4,3,0,25,24,
1962,SF,A,TOR,NHL,MTL,NHL,4,1,0,14,6,
2008,CSF,I,CAR,NHL,BOS,NHL,4,3,0,16,17,
1936,SF,A,DET,NHL,MTL,NHL,3,2,0,13,8,
2003,CSF,K,CAL,NHL,DET,NHL,4,2,0,11,12,
2009,CQF,E,SJS,NHL,COL,NHL,4,2,0,19,11,
1967,SF,E,MTL,NHL,CHI,NHL,4,1,0,22,10,
1926,SCF,E,OTS,NHL,BOS,NHL,2,0,2,7,3,
1980,SCF,O,NYI,NHL,MNS,NHL,4,1,0,26,16,
1989,DSF,C,NYR,NHL,NYI,NHL,4,1,0,22,13,
1998,CQF,G,DET,NHL,ANA,NHL,4,0,0,17,6,
1991,DSF,G,VAN,NHL,WIN,NHL,4,3,0,29,17,
1988,DSF,F,STL,NHL,MNS,NHL,4,1,0,23,15,
1922,F,,VAM,PCHA,VC1,PCHA,1,1,0,5,3,TG
2003,CSF,I,TBL,NHL,MTL,NHL,4,0,0,14,5,
1977,QF,E,MTL,NHL,DET,NHL,4,1,0,24,10,
2002,CSF,I,OTT,NHL,PHI,NHL,4,2,0,17,10,
1995,CQF,E,DET,NHL,WIN,NHL,4,2,0,20,10,
1987,CF,N,EDM,NHL,DET,NHL,4,1,0,23,16,
1925,F,,VIC,WCHL,EDE,WCHL,1,0,1,5,3,TG
1988,DSF,C,PHI,NHL,WAS,NHL,4,2,0,25,19,
2001,CQF,C,CAR,NHL,NJD,NHL,4,2,0,9,11,
1975,Pre,C,LAK,NHL,ATF,NHL,2,0,0,3,1,
2009,CF,M,PHI,NHL,MTL,NHL,4,1,0,17,7,
1977,QF,H,PHI,NHL,BUF,NHL,4,1,0,16,11,
1998,CQF,E,DAL,NHL,EDM,NHL,4,0,0,11,7,
1932,QF,B,DET,NHL,MTM,NHL,2,0,0,5,2,TG
2005,CF,N,EDM,NHL,ANA,NHL,4,1,0,16,13,
1979,Pre,D,BOS,NHL,PIT,NHL,3,2,0,21,14,
1930,SF,A,MTL,NHL,BOS,NHL,3,2,0,13,13,
1984,DSF,B,QUE,NHL,BUF,NHL,3,2,0,22,22,
1988,CF,N,CAL,NHL,CHI,NHL,4,1,0,15,8,
1990,DF,L,EDM,NHL,LAK,NHL,4,2,0,21,20,
2008,CQF,H,CHI,NHL,CAL,NHL,4,2,0,21,16,
1939,QF,C,DET,NHL,NYA,NHL,2,1,0,9,7,
2002,CF,N,ANA,NHL,MIN,NHL,4,0,0,9,1,
2002,CQF,G,MIN,NHL,COL,NHL,4,3,0,16,17,
2003,CQF,A,TBL,NHL,NYI,NHL,4,1,0,12,5,
1949,SCF,C,DET,NHL,NYR,NHL,4,3,0,22,17,
1924,SF,,MTL,NHL,TRS,NHL,2,0,0,5,2,TG
1975,QF,,NEW,WHA,IND,WHA,4,3,0,18,15,
1996,CSF,K,COL,NHL,EDM,NHL,4,1,0,19,11,
1988,DF,J,PHI,NHL,PIT,NHL,4,3,0,31,24,
1996,CSF,L,DET,NHL,ANA,NHL,4,0,0,13,8,
1948,SF,A,DET,NHL,MTL,NHL,4,3,0,17,14,
1977,SF,I,MTL,NHL,TOR,NHL,4,0,0,16,6,
1959,SCF,C,MTL,NHL,TOR,NHL,4,0,0,15,5,
1973,QF,D,CHI,NHL,LAK,NHL,4,1,0,10,7,
1980,QF,I,NYI,NHL,EDM,NHL,4,2,0,29,20,
2007,CSF,I,PHI,NHL,MTL,NHL,4,1,0,20,14,
1972,DF,,WIJ,WHA,HOU,WHA,4,0,0,14,3,
1986,DSF,F,DET,NHL,CHI,NHL,4,0,0,15,6,
2003,CQF,E,DET,NHL,NAS,NHL,4,2,0,12,9,
1940,QF,B,DET,NHL,NYR,NHL,2,1,0,6,6,
1980,Pre,A,NYI,NHL,TOR,NHL,3,0,0,20,4,
