year,lgid,tmid,oppid,w,l,t,otl
1970,NHL,MNS,DET,3,2,1.0,
1977,NHL,BOS,NYR,4,1,0.0,
1993,NHL,EDM,TOR,1,2,1.0,
1971,NHL,LAK,MTL,0,5,1.0,
1947,NHL,MTL,BOS,2,6,4.0,
1974,NHL,NYR,WAS,2,1,1.0,
1991,NHL,SJS,CAL,2,5,0.0,
1909,NHA,LES,MOS,1,1,0.0,
2005,NHL,COL,BOS,1,0,,0
1983,NHL,WIN,QUE,2,1,0.0,
2011,NHL,MIN,WAS,0,1,,0
1969,NHL,MNS,PHI,3,4,1.0,
1982,NHL,LAK,TOR,2,1,0.0,
1986,NHL,TOR,QUE,0,3,0.0,
1979,NHL,HAR,ATF,3,1,0.0,
1940,NHL,NYR,DET,2,3,3.0,
1972,WHA,NEW,CHC,5,1,0.0,
2001,NHL,FLO,EDM,1,1,0.0,0
1996,NHL,PHI,ANA,2,0,0.0,
1982,NHL,PHI,WAS,3,4,0.0,
2010,NHL,WAS,MIN,0,1,,0
1950,NHL,TOR,CHI,8,2,4.0,
2009,NHL,TOR,BUF,1,3,,2
2005,NHL,MIN,CHI,3,1,,0
1973,NHL,STL,VAN,3,1,1.0,
1991,NHL,NJD,MNS,0,2,0.0,
1992,NHL,MNS,CHI,1,6,0.0,
1993,NHL,FLO,QUE,1,2,1.0,
2005,NHL,NAS,LAK,2,1,,1
1975,NHL,LAK,NYI,1,2,1.0,
1971,NHL,BOS,DET,5,1,0.0,
1991,NHL,EDM,PHI,1,2,0.0,
2008,NHL,TOR,NYR,3,0,,1
1985,NHL,CHI,WIN,2,1,0.0,
1989,NHL,MNS,WIN,2,1,0.0,
2009,NHL,NYI,CBS,2,0,,0
1988,NHL,NYI,NJD,4,1,2.0,
1991,NHL,NJD,HAR,3,0,0.0,
1975,WHA,CIN,WIJ,0,4,0.0,
1992,NHL,QUE,TOR,3,0,0.0,
1992,NHL,DET,MNS,5,1,1.0,
2009,NHL,STL,NAS,1,4,,1
1998,NHL,CAL,NYI,1,0,0.0,
2000,NHL,NYR,COL,0,1,0.0,0
1998,NHL,ANA,PHO,3,1,2.0,
2008,NHL,DAL,NJD,1,1,,0
1970,NHL,BOS,NYR,2,2,2.0,
2009,NHL,TOR,WAS,2,2,,0
1977,WHA,SOV,CIN,1,0,0.0,
2003,NHL,NAS,TOR,0,1,0.0,0
2000,NHL,NAS,ATL,1,1,0.0,0
2006,NHL,DAL,ATL,1,0,,0
1990,NHL,WAS,VAN,2,1,0.0,
1976,WHA,NEW,QUN,2,8,1.0,
1970,NHL,DET,NYR,1,4,1.0,
2000,NHL,OTT,NYI,4,0,0.0,0
1999,NHL,DET,CHI,2,3,1.0,0
1927,NHL,NYA,MTM,1,4,1.0,
1998,NHL,SJS,NYR,0,1,1.0,
1978,WHA,IND,EDO,1,3,0.0,
1992,NHL,BOS,LAK,1,1,0.0,
1941,NHL,DET,BOS,2,4,2.0,
1994,NHL,QUE,MTL,1,2,1.0,
1998,NHL,DAL,MTL,1,0,1.0,
1933,NHL,OTS,BOS,4,2,0.0,
1929,NHL,NYR,DTC,1,2,3.0,
1978,WHA,QUN,CZE,1,0,0.0,
1987,NHL,DET,STL,4,1,3.0,
2005,NHL,LAK,MTL,0,1,,0
1977,NHL,VAN,NYR,1,4,0.0,
2002,NHL,LAK,BUF,1,0,0.0,0
1976,NHL,MNS,WAS,1,1,2.0,
2000,NHL,ATL,CAL,0,0,1.0,0
2006,NHL,LAK,VAN,1,3,,0
1981,NHL,MTL,LAK,2,1,0.0,
1970,NHL,CHI,PHI,4,1,1.0,
2005,NHL,EDM,CHI,2,2,,0
1989,NHL,NJD,STL,2,1,0.0,
1999,NHL,CAL,NYR,0,0,0.0,1
1925,NHL,TRS,PIP,2,3,1.0,
2002,NHL,NAS,MTL,0,1,0.0,0
1918,NHL,TOA,MTL,3,6,0.0,
1991,NHL,VAN,CHI,2,1,0.0,
1997,NHL,BOS,WAS,2,1,1.0,
2005,NHL,NYI,OTT,0,4,,0
1972,NHL,DET,LAK,2,2,1.0,
1991,NHL,TOR,PHI,1,1,1.0,
1972,NHL,CLF,BOS,0,4,1.0,
2003,NHL,NYR,BOS,1,3,0.0,0
1998,NHL,CAR,DET,1,1,0.0,
1984,NHL,QUE,MNS,3,0,0.0,
1985,NHL,CAL,TOR,2,1,0.0,
2009,NHL,MIN,PHI,2,0,,0
2001,NHL,MTL,FLO,2,2,0.0,0
2008,NHL,TOR,COL,1,0,,0
2010,NHL,AND,OTT,1,0,,0
1999,NHL,CAR,STL,1,1,0.0,0
1995,NHL,FLO,DET,1,1,0.0,
2001,NHL,FLO,NYI,1,2,1.0,0
1999,NHL,TOR,WAS,2,1,1.0,0
2005,NHL,TBL,PHI,4,0,,0
2009,NHL,NAS,CBS,5,1,,0
2007,NHL,BUF,SJS,1,0,,0
1981,NHL,HAR,CAL,1,2,0.0,
1993,NHL,BUF,WAS,1,2,1.0,
1935,NHL,NYA,MTL,3,5,0.0,
1972,NHL,BUF,MTL,1,2,2.0,
1981,NHL,COR,CHI,2,1,0.0,
1978,NHL,ATF,TOR,4,1,0.0,
1997,NHL,CAR,ANA,2,0,0.0,
2008,NHL,STL,BOS,1,1,,0
2008,NHL,PHO,TBL,1,0,,0
2010,NHL,STL,LAK,4,0,,0
1995,NHL,ANA,WAS,1,0,1.0,
1979,NHL,QUE,WIN,2,2,0.0,
1996,NHL,SJS,PHI,0,1,1.0,
1988,NHL,STL,BOS,0,3,0.0,
1978,NHL,DET,COR,3,0,1.0,
1999,NHL,BOS,ANA,1,1,0.0,0
2010,NHL,NJD,CHI,1,0,,0
