coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
mcvieto01c,1980,WIN,NHL,1,,28,1,20,7,,,,
sathegl01c,2003,NYR,NHL,1,,62,22,33,7,,,,
slatete01c,1975,CIN,WHA,1,,80,35,44,1,,,,
lalonne01c,1921,MTL,NHL,1,,7,2,5,0,,,,
fashogo01c,1967,OAK,NHL,2,,10,4,5,1,,,,
muckljo01c,1993,BUF,NHL,1,,84,43,32,9,7,3,4,0
malonda01c,1988,WIN,NHL,1,,52,18,25,9,,,,
patrifr01c,1911,VML,PCHA,1,,15,7,8,0,,,,
therrmi01c,2005,PIT,NHL,2,,51,14,29,8,,,,
angotlo01c,1973,STL,NHL,2,,23,4,15,4,,,,
stuarbr02c,1910,OT1,NHA,1,,16,13,3,0,,,,
reaybi01c,1963,CHI,NHL,1,,70,36,22,12,7,3,4,0
ubriage01c,1988,PIT,NHL,1,,80,40,33,7,11,7,4,0
mahonbi01c,1983,MNS,NHL,1,,80,39,31,10,16,7,9,0
wilsoro02c,1996,ANA,NHL,1,,82,36,33,13,11,4,7,0
mcvieto01c,1977,WAS,NHL,1,,80,17,49,14,,,,
crozijo01c,1975,CAC,WHA,1,,80,41,35,4,10,5,5,0
patrifr01c,1921,VML,PCHA,1,,24,12,12,0,9,5,4,0
gottsjo01c,1946,CHI,NHL,1,,60,19,37,4,,,,
sullire01c,1967,PIT,NHL,1,,74,27,34,13,,,,
trotzba01c,2009,NAS,NHL,1,,82,47,29,6,6,2,4,0
patrifr01c,1913,VML,PCHA,1,,16,7,9,0,,,,
shawbr02c,1973,EDO,WHA,1,,78,38,37,3,5,1,4,0
mauripa01c,2001,CAR,NHL,1,,82,35,31,16,23,13,10,0
laviope01c,2001,NYI,NHL,1,,82,42,32,8,7,3,4,0
abelsi01c,1962,DET,NHL,1,,70,32,25,13,11,5,6,0
hartce01c,1931,MTL,NHL,1,,48,25,16,7,4,1,3,0
bowmasc01c,2000,DET,NHL,1,,82,49,24,9,6,2,4,0
schinke01c,1976,PIT,NHL,1,,80,34,33,13,3,1,2,0
francbo01c,1999,PHO,NHL,1,,82,39,35,8,5,1,4,0
lowro01c,1996,EDM,NHL,1,,82,36,37,9,12,5,7,0
trottbr01c,2002,NYR,NHL,1,,54,21,27,6,,,,
ludzist01c,1999,TBL,NHL,1,,82,19,54,9,,,,
carlyra01c,2010,AND,NHL,1,,82,47,30,5,6,2,4,0
sherofr01c,1976,PHI,NHL,1,,80,48,16,16,10,4,6,0
wattto01c,1990,TOR,NHL,2,,69,22,37,10,,,,
ryanro01c,1974,NEW,WHA,1,,73,40,28,5,,,,
ruffli01c,2005,BUF,NHL,1,,82,52,24,6,18,11,7,0
vachoro01c,1994,LAK,NHL,2,,7,3,2,2,,,,
chambda01c,1991,QUE,NHL,1,,18,3,14,1,,,,
ruffli01c,2001,BUF,NHL,1,,82,35,36,11,,,,
quinnpa01c,1999,TOR,NHL,1,,82,45,30,7,12,6,6,0
francbo01c,2000,PHO,NHL,1,,82,35,30,17,,,,
crawfma01c,2009,DAL,NHL,1,,82,37,31,14,,,,
oconnmi01c,2002,BOS,NHL,2,,9,3,3,3,5,1,4,0
bouchge01c,1930,MTM,NHL,2,,12,6,5,1,2,0,2,0
arboual01c,1977,NYI,NHL,1,,80,48,17,15,7,3,4,0
fredrfr01c,1929,PIP,NHL,1,,44,5,36,3,,,,
macneal01c,2002,CAL,NHL,2,,11,4,5,2,,,,
dandule01c,1923,MTL,NHL,1,,24,13,11,0,6,6,0,0
nolanch01c,1910,QU1,NHA,1,,16,4,12,0,,,,
trotzba01c,2003,NAS,NHL,1,,82,38,33,11,6,2,4,0
kelleja01c,1974,NEW,WHA,2,,5,3,2,0,6,2,4,0
neilsro01c,1983,LAK,NHL,3,,28,8,17,3,,,,
nealeha01c,1978,VAN,NHL,1,,80,25,42,13,3,1,2,0
ruelcl01c,1969,MTL,NHL,1,,76,38,22,16,,,,
laforbi01c,1984,VAN,NHL,1,,20,4,14,2,,,,
suttebr02c,2007,NJD,NHL,1,,82,46,29,7,5,1,4,0
tortojo01c,2011,NYR,NHL,1,,82,51,24,7,20,10,10,0
johnsbo02c,1990,PIT,NHL,1,,80,41,33,6,24,16,8,0
adamsja01c,1933,DET,NHL,1,,48,24,14,10,9,4,5,0
patrily01c,1953,BOS,NHL,1,,70,32,28,10,4,0,4,0
renneto01c,1996,VAN,NHL,1,,82,35,40,7,,,,
schoeji01c,1998,PHO,NHL,1,,82,39,31,12,7,3,4,0
sindeha01c,1984,BOS,NHL,2,,24,11,10,3,5,2,3,0
