playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
cotchch01,1922,VAM,PCHA,L,2,0,0,0,0
holwaal01,1925,MTM,NHL,D,2,0,0,0,0
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
marksja01,1912,QU1,NHA,R,3,2,0,2,2
mackami01,1917,VML,PCHA,C,5,5,5,10,12
broadpu01,1922,OTS,NHL,R,6,6,1,7,12
cookll01,1922,VAM,PCHA,D,4,0,1,1,4
duncaar01,1921,VML,PCHA,D,5,0,1,1,9
rowebo01,1913,VA1,PCHA,D,3,0,0,0,3
corbebe01,1916,MOC,NHA,D,4,2,1,3,3
taylocy01,1917,VML,PCHA,L,5,9,0,9,15
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
cookll01,1914,VML,PCHA,D,3,3,0,3,9
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
malleke01,1914,VML,PCHA,C,3,0,0,0,0
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
cleghsp01,1919,OTS,NHL,D,5,0,1,1,4
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
gerared01,1914,OT1,NHA,L,3,1,2,3,14
kerral02,1913,VA1,PCHA,R,3,1,0,1,3
rossar01,1914,OT1,NHA,D,3,0,0,0,12
benedcl01,1920,OTS,NHL,G,5,0,0,0,0
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
morrijo01,1922,EDE,WCHL,R,2,1,0,1,0
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
wilsocu01,1918,SEA,PCHA,R,5,1,3,4,6
poulisk01,1912,VA1,PCHA,L,3,2,0,2,5
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
broadpu01,1925,MTM,NHL,R,4,1,0,1,20
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
morenho01,1923,MTL,NHL,C,4,4,2,6,4
duncaar01,1923,VAM,PCHA,D,2,0,0,0,6
