year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1984,NHL,NYI,26,11,3.0,,14,23,3.0,,,,,,6,3,0,,8,5,1,,6,7,0,,6,6,2.0,,6,5,1.0,,7,7,1,,1,1,1,
1984,NHL,EDM,26,7,7.0,,23,13,4.0,,,,,,8,0,2,,10,3,1,,7,4,1,,11,2,2.0,,7,4,1.0,,5,6,3,,1,1,1,
1987,NHL,CHI,21,17,2.0,,9,24,7.0,,,,,,5,5,1,,5,7,1,,5,9,0,,7,6,1.0,,4,4,4.0,,4,9,2,,0,1,0,
1978,NHL,TOR,20,12,8.0,,14,21,5.0,,,,,,4,5,1,,8,3,3,,5,8,2,,4,4,4.0,,3,6,1.0,,8,6,1,,2,1,1,
1916,NHA,TOB,3,4,0.0,,4,3,0.0,,,,,,,,,,,,,,2,0,0,,5,4,0.0,,0,3,0.0,,,,,,,,,
2003,NHL,DET,30,7,4.0,0,18,14,7.0,2,,,,,5,5,0,0,9,4,2,0,9,3,2,1,6,3,4.0,1,8,2,1.0,0,10,3,2,0,1,1,0,0
1956,NHL,NYR,15,12,8.0,,11,18,6.0,,,,,,4,3,1,,2,7,4,,5,6,2,,5,7,1.0,,6,4,3.0,,4,3,3,,,,,
1984,NHL,LAK,20,14,6.0,,14,18,8.0,,,,,,2,6,3,,9,3,0,,4,5,5,,7,6,1.0,,6,4,2.0,,5,7,2,,1,1,1,
1992,NHL,NJD,24,14,4.0,,16,23,3.0,,,,,,7,5,0,,5,5,0,,6,6,1,,6,6,3.0,,7,4,1.0,,7,7,1,,2,4,1,
1937,NHL,TOR,13,6,5.0,,11,9,4.0,,,,,,,,,,5,2,3,,4,2,2,,5,3,2.0,,5,6,1.0,,5,2,1,,,,,
2010,NHL,NYR,20,17,,4,24,16,,1,,,,,5,4,,1,9,7,,0,8,3,,1,7,6,,1,4,7,,1,8,5,,1,3,1,,0
1950,NHL,DET,25,3,7.0,,19,10,6.0,,,,,,4,2,1,,6,3,3,,11,2,2,,7,4,3.0,,6,1,4.0,,10,1,0,,,,,
1954,NHL,NYR,10,12,13.0,,7,23,5.0,,,,,,5,4,1,,3,6,3,,1,8,6,,4,7,3.0,,1,6,4.0,,3,4,1,,,,,
1960,NHL,CHI,20,6,9.0,,9,18,8.0,,,,,,6,3,2,,4,4,5,,4,7,1,,6,4,3.0,,5,4,4.0,,4,2,2,,,,,
1993,NHL,ANA,14,26,2.0,,19,20,3.0,,,,,,2,8,2,,6,7,0,,6,8,0,,6,6,2.0,,4,6,1.0,,6,8,0,,3,3,0,
2011,NHL,NJD,24,13,,4,24,15,,2,,,,,4,4,,1,8,6,,0,9,5,,0,6,4,,2,8,4,,1,10,5,,2,3,0,,0
2009,NHL,CAR,21,17,,3,14,20,,7,,,,,2,7,,3,3,10,,2,5,6,,2,9,5,,0,5,2,,0,9,5,,2,2,2,,1
1978,NHL,NYI,31,3,6.0,,20,12,8.0,,,,,,5,2,2,,9,1,2,,10,1,3,,8,4,2.0,,7,3,1.0,,8,3,4,,4,1,0,
1928,NHL,MTL,12,4,6.0,,10,3,9.0,,,,,,,,,,2,2,2,,5,3,1,,5,1,7.0,,5,1,4.0,,5,0,1,,,,,
1996,NHL,OTT,16,17,8.0,,15,19,7.0,,,,,,3,3,4,,4,7,2,,4,7,1,,4,6,3.0,,6,5,3.0,,5,6,2,,5,2,0,
1993,NHL,PIT,25,9,8.0,,19,18,5.0,,,,,,7,4,1,,5,3,5,,6,4,2,,6,3,3.0,,7,6,1.0,,9,5,1,,4,2,0,
1980,NHL,NYI,23,6,11.0,,25,12,3.0,,,,,,4,4,3,,12,1,2,,8,2,3,,9,5,0.0,,5,5,2.0,,7,1,4,,3,0,0,
1990,NHL,DET,26,14,0.0,,8,24,8.0,,,,,,6,4,3,,6,6,0,,7,7,1,,3,9,1.0,,6,5,3.0,,6,7,0,,,,,
1995,NHL,BOS,22,14,5.0,,18,17,6.0,,,,,,3,5,2,,5,5,2,,7,4,1,,6,6,1.0,,6,6,2.0,,9,4,1,,4,1,2,
1992,NHL,HAR,12,25,5.0,,14,27,1.0,,,,,,3,8,0,,3,8,1,,5,7,2,,3,11,1.0,,3,7,0.0,,5,7,1,,4,4,1,
1922,PCHA,VC1,10,5,0.0,,6,9,0.0,,,,,,,,,,2,3,0,,2,3,0,,6,3,0.0,,5,5,0.0,,1,0,0,,,,,
2009,NHL,NYR,18,17,,6,20,16,,5,,,,,8,5,,1,5,8,,0,6,4,,3,6,7,,3,3,3,,0,6,5,,3,4,1,,1
1978,WHA,QUN,24,13,4.0,,17,21,1.0,,,,,,4,5,1,,7,4,1,,8,3,2,,5,4,0.0,,4,7,1.0,,11,5,0,,2,6,0,
2006,NHL,NYI,22,13,,6,18,17,,6,,,,,5,4,,2,7,5,,1,7,6,,0,4,6,,3,9,2,,2,4,7,,4,4,0,,0
1929,NHL,BOS,21,1,0.0,,17,4,1.0,,,,,,,,,,5,1,0,,10,1,0,,10,2,0.0,,8,0,1.0,,5,1,0,,,,,
1930,NHL,DTF,10,7,5.0,,6,14,2.0,,,,,,,,,,3,2,2,,4,5,1,,5,4,1.0,,3,4,3.0,,1,6,0,,,,,
2011,NHL,TOR,18,16,,7,17,21,,3,,,,,7,3,,1,7,6,,1,4,6,,3,7,4,,1,4,9,,1,5,8,,2,1,1,,1
1988,NHL,STL,22,11,7.0,,11,24,5.0,,,,,,5,3,1,,3,7,3,,6,7,3,,4,6,2.0,,4,8,1.0,,9,4,2,,2,0,0,
1998,NHL,PHO,23,13,5.0,,16,18,7.0,,,,,,4,2,1,,10,0,1,,7,5,2,,4,5,5.0,,5,8,1.0,,7,6,2,,2,5,0,
1945,NHL,NYR,8,12,5.0,,5,16,4.0,,,,,,0,1,0,,3,8,1,,2,6,2,,3,6,1.0,,2,4,5.0,,3,3,0,,,,,
2009,NHL,TOR,18,17,,6,12,21,,8,,,,,1,7,,4,5,5,,3,8,6,,2,3,10,,2,2,3,,0,9,5,,2,2,2,,1
1991,NHL,VAN,23,10,7.0,,19,16,5.0,,,,,,9,3,1,,7,4,2,,6,4,3,,7,3,1.0,,5,6,2.0,,7,5,2,,1,1,1,
1987,NHL,HAR,21,14,5.0,,14,24,2.0,,,,,,4,5,1,,4,5,3,,6,6,2,,8,6,1.0,,4,8,0.0,,8,7,0,,1,1,0,
1984,NHL,CAL,23,11,6.0,,18,16,6.0,,,,,,7,4,0,,7,4,1,,5,7,2,,7,4,4.0,,5,6,0.0,,9,2,3,,1,0,2,
1978,NHL,LAK,20,13,7.0,,14,21,5.0,,,,,,4,4,0,,6,5,2,,4,6,4,,7,9,1.0,,5,3,2.0,,7,5,2,,1,2,1,
1985,NHL,BOS,24,9,7.0,,13,22,5.0,,,,,,7,2,1,,4,6,3,,6,5,3,,8,5,0.0,,5,8,0.0,,6,4,4,,1,1,1,
