year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2003,NHL,EDM,EDM,WC,NW,4,,82,36,29,12.0,5,89,,,221,208,Edmonton Oilers,1220,22,44,338,8,66,350,13
1997,NHL,DET,DET,WC,CE,2,SC,82,44,23,15.0,,103,,,250,196,Detroit Red Wings,1346,12,67,381,7,51,376,8
1993,NHL,STL,STL,WC,CE,4,CQF,84,40,33,11.0,,91,,,270,283,St. Louis Blues,1659,20,86,420,14,73,388,17
2010,NHL,COL,COL,WC,NW,4,,82,30,44,,8,68,6,1,227,288,Colorado Avalanche,1077,22,49,265,11,75,314,8
1999,NHL,TOR,TOR,EC,NE,1,CSF,82,45,27,7.0,3,100,,,246,222,Toronto Maple Leafs,1103,12,57,321,5,58,330,11
1999,NHL,COL,COL,WC,NW,1,CF,82,42,28,11.0,1,96,,,233,201,Colorado Avalanche,1118,18,59,302,7,52,335,3
1974,NHL,ATF,CAL,CC,PT,4,,80,34,31,15.0,,83,,,243,233,Atlanta Flames,915,14,56,283,9,56,270,4
1992,NHL,DET,DET,CC,NO,2,DSF,84,47,28,9.0,,103,,,369,280,Detroit Red Wings,1832,18,113,454,10,79,420,18
1940,NHL,MTL,MTL,,,6,QF,48,16,26,6.0,,38,,,121,147,Montreal Canadiens,461,,,,,,,
1915,PCHA,PO1,PO1,,,1,F,18,13,5,0.0,,26,,,71,50,Portland Rosebuds,,,,,,,,
1995,NHL,TBL,TBL,EC,AT,5,CQF,82,38,32,12.0,,88,,,238,248,Tampa Bay Lightning,1628,14,83,400,13,68,439,6
1984,NHL,WAS,WAS,WA,PT,2,DSF,80,46,25,9.0,,101,,,322,240,Washington Capitals,1161,36,79,331,7,68,286,6
2009,NHL,TOR,TOR,EC,NE,5,,82,30,38,,14,74,4,4,214,267,Toronto Maple Leafs,1091,20,44,315,7,73,288,4
1970,NHL,NYR,NYR,,ED,2,SF,78,49,18,11.0,,109,,,259,177,New York Rangers,952,8,60,234,3,41,253,5
1969,NHL,PHI,PHI,,WD,5,,76,17,35,24.0,,58,,,197,225,Philadelphia Flyers,1123,16,46,296,9,58,311,7
