playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
omarrry01,2011,1,EDM,NHL,C,7.0,0.0,1.0,1.0,4.0,0,0,0,0,0,0,,3,,,,,,,,,,,,
hayge01,1932,1,DET,NHL,L,34.0,1.0,6.0,7.0,6.0,,,,,,,,,4,0,1,1,0,,,,,,,
miszujo01,1967,1,PHI,NHL,D,74.0,5.0,17.0,22.0,79.0,1,1,,1,,1,0,78,7,0,3,3,11,,0,,0,,0,
hossama02,2001,1,MTL,NHL,L,10.0,3.0,1.0,4.0,2.0,2,0,0,0,0,0,0,20,,,,,,,,,,,,
mcleaki01,1997,1,VAN,NHL,G,29.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
martipi01,1961,1,DET,NHL,C,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
evansdo01,1986,1,STL,NHL,L,53.0,3.0,13.0,16.0,91.0,2,0,,0,,0,0,51,5,0,0,0,10,-2,0,,0,,0,2
hurlbmi01,1993,1,QUE,NHL,D,1.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,0,1,,,,,,,,,,,,
bicanra01,2000,1,CBS,NHL,D,9.0,0.0,2.0,2.0,6.0,1,0,0,0,0,0,0,11,,,,,,,,,,,,
mooredi01,1959,1,MTL,NHL,L,62.0,22.0,42.0,64.0,54.0,,,,,,,,,8,6,4,10,4,,,,,,,
gatzost01,1984,1,PIT,NHL,R,6.0,0.0,2.0,2.0,2.0,-6,0,,0,,0,0,6,,,,,,,,,,,,
conacro01,1950,1,CHI,NHL,L,70.0,26.0,24.0,50.0,16.0,,,,,,,,,,,,,,,,,,,,
laichbr01,2003,1,OTT,NHL,C,1.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
kaminke01,1995,1,WAS,NHL,L,54.0,1.0,2.0,3.0,164.0,-1,0,0,0,0,0,0,17,3,0,0,0,16,0,0,0,0,0,0,1
cullema01,2002,2,FLO,NHL,C,30.0,6.0,6.0,12.0,22.0,-4,2,1,1,1,1,0,54,,,,,,,,,,,,
tkaczwa01,1973,1,NYR,NHL,C,71.0,21.0,42.0,63.0,58.0,15,3,,3,,0,0,218,13,0,5,5,22,,0,,0,,0,
samsose01,2009,1,CAR,NHL,L,72.0,14.0,15.0,29.0,32.0,-15,2,5,0,0,2,,104,,,,,,,,,,,,
boyntni01,1999,1,BOS,NHL,D,5.0,0.0,0.0,0.0,0.0,-5,0,0,0,0,0,0,6,,,,,,,,,,,,
stillco01,1999,1,CAL,NHL,C,37.0,12.0,9.0,21.0,12.0,-9,6,3,0,0,3,1,59,,,,,,,,,,,,
mactacr01,1996,1,STL,NHL,C,50.0,2.0,5.0,7.0,33.0,-12,0,0,0,0,0,0,26,1,0,0,0,2,-1,0,0,0,0,0,0
jolygr01,1982,1,DET,NHL,D,2.0,0.0,0.0,0.0,0.0,0,0,,0,,0,0,3,,,,,,,,,,,,
timgrra01,1948,1,TOR,NHL,L,36.0,3.0,12.0,15.0,9.0,,,,,,,,,9,3,3,6,2,,,,,,,
dunhami01,2003,1,NYR,NHL,G,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
gravead01,1992,1,NYR,NHL,L,84.0,36.0,29.0,65.0,148.0,-4,12,2,1,2,6,1,275,,,,,,,,,,,,
hullbo01,1971,1,CHI,NHL,L,78.0,50.0,43.0,93.0,24.0,54,8,,3,,9,4,336,8,4,4,8,6,,0,,1,,0,
scremcl01,1992,1,SJS,NHL,D,4.0,0.0,1.0,1.0,4.0,-1,0,0,0,0,0,0,4,,,,,,,,,,,,
hornege01,1926,1,MTM,NHL,F,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
rossar01,1917,1,MTW,NHL,D,3.0,1.0,0.0,1.0,12.0,,,,,,0,,,,,,,,,,,,,,
staubro01,1993,1,LAK,NHL,G,22.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
marksja01,1917,2,TOA,NHL,L,5.0,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,,,,,
hickeer01,1974,2,MNS,NHL,L,42.0,15.0,13.0,28.0,51.0,-26,7,,0,,1,0,114,,,,,,,,,,,,
timanma01,1999,1,BOS,NHL,D,60.0,0.0,8.0,8.0,22.0,-11,0,1,0,0,0,0,39,,,,,,,,,,,,
lindsbi01,2001,1,FLO,NHL,L,63.0,4.0,7.0,11.0,117.0,-11,0,0,0,0,1,0,63,,,,,,,,,,,,
regiest01,2007,1,NYI,NHL,L,8.0,0.0,0.0,0.0,4.0,-1,0,0,0,0,0,,7,,,,,,,,,,,,
josepch01,1988,1,EDM,NHL,D,44.0,4.0,5.0,9.0,54.0,-9,0,0,0,1,0,0,36,,,,,,,,,,,,
maybr01,1995,1,BUF,NHL,L,79.0,15.0,29.0,44.0,295.0,6,3,5,0,0,4,0,168,,,,,,,,,,,,
boyleda01,1998,1,FLO,NHL,D,22.0,3.0,5.0,8.0,6.0,0,1,2,0,0,1,0,31,,,,,,,,,,,,
kellych01,2009,1,OTT,NHL,C,81.0,15.0,17.0,32.0,38.0,-7,0,0,0,0,3,,112,6,1,5,6,2,1,1,0,0,0,0,11
reidda02,1988,1,TOR,NHL,L,77.0,9.0,21.0,30.0,22.0,12,1,1,1,1,0,0,87,,,,,,,,,,,,
connoti01,2002,1,BUF,NHL,C,80.0,12.0,13.0,25.0,32.0,-28,6,8,0,0,2,0,159,,,,,,,,,,,,
gruenda01,1974,1,MIB,WHA,L,34.0,10.0,16.0,26.0,73.0,-12,3,,0,,,,92,,,,,,,,,,,,
melicjo01,2002,1,PIT,NHL,D,8.0,0.0,0.0,0.0,2.0,-2,0,0,0,0,0,0,6,,,,,,,,,,,,
pahlssa01,2000,1,BOS,NHL,C,17.0,1.0,1.0,2.0,6.0,-5,0,0,0,0,0,0,13,,,,,,,,,,,,
clippst01,1979,1,WAS,NHL,L,3.0,0.0,0.0,0.0,0.0,0,0,,0,,0,0,1,,,,,,,,,,,,
dawesni01,2007,1,NYR,NHL,L,61.0,14.0,15.0,29.0,10.0,11,3,1,0,0,4,,121,10,2,2,4,0,3,0,0,0,0,0,19
bergmga01,1967,1,DET,NHL,D,74.0,13.0,28.0,41.0,109.0,-1,5,,2,,3,0,165,,,,,,,,,,,,
geoffbe01,1963,1,MTL,NHL,R,55.0,21.0,18.0,39.0,41.0,,5,,0,,9,0,,7,1,1,2,4,,,,,,1,
hannada01,1996,1,OTT,NHL,C,34.0,2.0,2.0,4.0,8.0,-1,0,0,1,1,1,0,16,,,,,,,,,,,,
westfed01,1971,1,BOS,NHL,R,77.0,18.0,26.0,44.0,19.0,29,0,,2,,5,1,123,15,4,3,7,10,,0,,2,,1,
axelspj01,2005,1,BOS,NHL,L,59.0,10.0,18.0,28.0,4.0,-3,1,1,2,1,1,,113,,,,,,,,,,,,
hollefl01,1937,1,BOS,NHL,D,48.0,4.0,10.0,14.0,54.0,,,,,,,,,3,0,1,1,0,,,,,,,
richalu01,1994,1,EDM,NHL,D,46.0,3.0,10.0,13.0,40.0,-6,1,1,1,1,1,0,51,,,,,,,,,,,,
peverri01,2008,1,NAS,NHL,C,27.0,2.0,7.0,9.0,15.0,-3,0,2,0,0,0,,42,,,,,,,,,,,,
morgaja01,2005,1,CHI,NHL,C,7.0,1.0,1.0,2.0,6.0,1,0,0,0,0,0,,6,,,,,,,,,,,,
bouchph01,2008,1,DAL,NHL,D,16.0,0.0,3.0,3.0,15.0,-4,0,2,0,0,0,,29,,,,,,,,,,,,
ivanara01,2005,1,MTL,NHL,D,4.0,0.0,0.0,0.0,9.0,-1,0,0,0,0,0,,0,,,,,,,,,,,,
raleido01,1948,1,NYR,NHL,C,41.0,10.0,16.0,26.0,8.0,,,,,,,,,,,,,,,,,,,,
hicksal01,1999,1,FLO,NHL,L,8.0,1.0,2.0,3.0,4.0,3,0,0,0,0,0,0,6,4,0,1,1,4,-1,0,0,0,0,0,4
adamsgr02,1991,1,VAN,NHL,L,76.0,30.0,27.0,57.0,26.0,8,13,7,1,2,5,0,184,6,0,2,2,4,4,0,1,0,0,0,23
babyjo01,1977,1,CLE,NHL,D,24.0,2.0,7.0,9.0,26.0,-10,0,,0,,0,0,42,,,,,,,,,,,,
blachce01,1909,1,MOW,NHA,,3.0,5.0,0.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,
portlja01,1940,2,MTL,NHL,D,42.0,2.0,7.0,9.0,34.0,,,,,,,,,3,0,1,1,2,,,,,,,
sittlda01,1975,1,TOR,NHL,C,79.0,41.0,59.0,100.0,90.0,12,11,,1,,2,2,346,10,5,7,12,19,,2,,0,,1,
nasreal01,2005,1,PIT,NHL,D,6.0,0.0,0.0,0.0,8.0,2,0,0,0,0,0,,3,,,,,,,,,,,,
barrato01,1995,1,PIT,NHL,G,49.0,0.0,3.0,3.0,18.0,0,0,1,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0
parsesc01,2010,1,LAK,NHL,C,5.0,1.0,3.0,4.0,0.0,5,0,0,0,0,0,,6,2,0,0,0,0,-1,0,0,0,0,0,0
nedomva01,1979,1,DET,NHL,R,79.0,35.0,39.0,74.0,13.0,-5,11,,0,,5,1,235,,,,,,,,,,,,
horacto01,1994,1,CHI,NHL,L,19.0,0.0,1.0,1.0,25.0,-4,0,0,0,0,0,0,6,,,,,,,,,,,,
kennemu01,1975,1,EDO,WHA,D,28.0,3.0,4.0,7.0,14.0,-8,1,,0,,0,,22,,,,,,,,,,,,
walkeru01,1977,1,LAK,NHL,R,1.0,0.0,0.0,0.0,6.0,0,0,,0,,0,0,0,,,,,,,,,,,,
ohlunma01,2010,1,TBL,NHL,D,72.0,0.0,5.0,5.0,70.0,-7,0,1,0,0,0,,39,18,1,2,3,8,5,0,0,1,0,0,9
hornula01,1974,1,WIJ,WHA,D,69.0,7.0,25.0,32.0,21.0,-17,1,,0,,,,80,,,,,,,,,,,,
smithar01,1930,1,OTS,NHL,D,43.0,2.0,4.0,6.0,61.0,,,,,,,,,,,,,,,,,,,,
aubrypi01,1983,2,DET,NHL,L,14.0,4.0,1.0,5.0,8.0,-1,0,,0,,0,0,13,3,0,0,0,2,0,0,,0,,0,3
dahleul01,1990,1,MNS,NHL,R,66.0,21.0,18.0,39.0,6.0,7,4,4,0,0,3,0,133,15,2,6,8,4,-4,0,1,0,0,0,26
geoffbe01,1960,1,MTL,NHL,R,64.0,50.0,45.0,95.0,29.0,,,,,,,,,4,2,1,3,0,,,,,,0,
houdeer01,1997,1,MTL,NHL,C,9.0,1.0,0.0,1.0,0.0,-3,0,0,0,0,1,0,4,,,,,,,,,,,,
rinnepe01,2011,1,NAS,NHL,G,73.0,0.0,5.0,5.0,0.0,0,0,1,0,0,0,,0,10,0,0,0,2,0,0,0,0,0,0,0
charrer01,1999,1,CAL,NHL,D,21.0,0.0,0.0,0.0,37.0,-3,0,0,0,0,0,0,8,,,,,,,,,,,,
morriel01,1943,1,TOR,NHL,D,50.0,12.0,21.0,33.0,22.0,,,,,,,,,5,1,2,3,2,,,,,,,
simonbe01,2003,1,ATL,NHL,C,52.0,3.0,0.0,3.0,28.0,-10,0,0,0,0,0,0,30,,,,,,,,,,,,
schrisw01,1937,1,NYA,NHL,L,48.0,21.0,17.0,38.0,22.0,,,,,,,,,6,1,0,1,0,,,,,,,
gervabr01,2011,1,TBL,NHL,D,50.0,6.0,7.0,13.0,8.0,-4,1,1,0,0,0,,57,,,,,,,,,,,,
colmami01,1991,1,SJS,NHL,D,15.0,0.0,1.0,1.0,32.0,-8,0,0,0,0,0,0,7,,,,,,,,,,,,
headlfe01,1924,2,MTL,NHL,D,17.0,0.0,1.0,1.0,6.0,,,,,,,,,1,0,0,0,0,,,,,,,
lesiear01,1928,2,CHI,NHL,D,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
murrabo02,1976,1,CHI,NHL,D,77.0,10.0,11.0,21.0,71.0,-7,0,,0,,0,0,84,2,0,1,1,2,,0,,0,,0,
amontto01,1990,1,NYR,NHL,R,,,,,,,,,,,,,,2,0,2,2,2,1,0,2,0,0,0,5
savarse01,1969,1,MTL,NHL,D,64.0,12.0,19.0,31.0,38.0,4,5,,3,,2,1,151,,,,,,,,,,,,
rayro01,1998,1,BUF,NHL,R,76.0,0.0,4.0,4.0,261.0,-2,0,0,0,0,0,0,23,5,1,0,1,0,1,0,0,0,0,1,1
makarse01,1989,1,CAL,NHL,R,80.0,24.0,62.0,86.0,55.0,33,6,21,0,0,4,0,118,6,0,6,6,0,3,0,0,0,0,0,5
mercrvi01,1975,1,CAC,WHA,C,3.0,0.0,0.0,0.0,29.0,0,0,,0,,0,,1,,,,,,,,,,,,
nighbfr01,1924,1,OTS,NHL,C,26.0,5.0,5.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,
beaucfr01,2011,1,AND,NHL,D,82.0,8.0,14.0,22.0,48.0,-14,3,2,0,1,1,,139,,,,,,,,,,,,
spencir01,1962,1,BOS,NHL,D/L,69.0,5.0,17.0,22.0,34.0,,,,,,,,,,,,,,,,,,,,
richtba01,1995,1,NYR,NHL,D,4.0,0.0,1.0,1.0,0.0,2,0,0,0,0,0,0,3,,,,,,,,,,,,
kruppuw01,1990,1,BUF,NHL,D,74.0,12.0,32.0,44.0,66.0,14,6,14,0,1,0,2,138,6,1,1,2,6,-2,1,1,0,0,0,13
mcdonab01,1970,1,STL,NHL,L,20.0,0.0,5.0,5.0,6.0,-3,0,,0,,0,0,31,,,,,,,,,,,,
fortima01,1992,2,LAK,NHL,C,6.0,0.0,0.0,0.0,5.0,-2,0,0,0,0,0,0,2,,,,,,,,,,,,
murphro01,1966,1,BOS,NHL,R,39.0,11.0,16.0,27.0,6.0,,0,,0,,1,2,,,,,,,,,,,,,
jennibi01,1943,1,DET,NHL,R,33.0,6.0,11.0,17.0,10.0,,,,,,,,,4,0,0,0,0,,,,,,,
nortobr01,2001,1,FLO,NHL,D,22.0,0.0,2.0,2.0,45.0,-2,0,0,0,0,0,0,6,,,,,,,,,,,,
ridlemi01,1987,1,WAS,NHL,C,70.0,28.0,31.0,59.0,22.0,1,12,11,0,0,3,0,134,14,6,5,11,10,-2,1,2,0,0,0,28
lumleha01,1947,1,DET,NHL,G,60.0,0.0,0.0,0.0,8.0,,,,,,,,,10,0,0,0,10,,,,,,,
keithma01,2005,1,CHI,NHL,R,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,6,,,,,,,,,,,,
lalonne01,1913,1,MOC,NHA,,14.0,22.0,5.0,27.0,23.0,,,,,,,,,2,0,,,,,,,,,,
kaminma01,1934,1,STE,NHL,C,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
harvedo01,1951,1,MTL,NHL,D,68.0,6.0,23.0,29.0,82.0,,,,,,,,,11,0,3,3,8,,,,,,,
moogan01,1986,1,EDM,NHL,G,46.0,0.0,2.0,2.0,8.0,0,0,,0,,0,0,0,2,0,0,0,0,0,0,,0,,0,0
mckenji02,1993,3,PIT,NHL,L,11.0,0.0,0.0,0.0,16.0,-5,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0
mckendo01,1960,1,BOS,NHL,C,68.0,26.0,23.0,49.0,22.0,,,,,,,,,,,,,,,,,,,,
loobha01,1983,1,CAL,NHL,R,77.0,30.0,25.0,55.0,22.0,11,3,,0,,2,0,178,11,2,3,5,2,-1,1,,0,,2,15
sterbja01,1978,1,CZE,WHA,,6.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,
