playerid,year,stint,tmid,w,l,sa,ga
lehtoka01,2007,1,ATL,4,3,18,5
vokouto01,2009,1,FLO,4,9,49,19
lundqhe01,2011,1,NYR,4,3,25,7
thibajo01,2005,1,PIT,1,1,12,3
bishobe01,2011,1,OTT,0,2,6,3
toivoha01,2006,1,BOS,1,1,8,3
lindban01,2011,1,NAS,1,0,3,0
fernama01,2007,1,BOS,1,0,3,0
gigueje01,2008,1,AND,2,2,12,4
drouije01,2008,1,EDM,1,0,3,0
elliobr01,2010,1,OTT,0,4,8,6
brodema01,2005,1,NJD,8,3,38,9
bobrose01,2010,1,PHI,1,4,17,9
andercr01,2010,1,COL,1,0,3,0
legacma01,2008,1,STL,3,1,13,4
legacma01,2006,1,STL,5,3,25,7
macdojo01,2008,1,NYI,3,3,15,6
backsni01,2011,1,MIN,5,6,32,15
masonst01,2011,1,CBS,2,2,10,4
hardijo01,2008,1,MIN,0,1,2,1
thomati01,2010,1,BOS,1,5,19,9
lundqhe01,2010,1,NYR,7,3,46,7
quickjo01,2011,1,LAK,6,8,47,16
niittan01,2006,1,PHI,1,4,23,6
bryzgil01,2007,2,PHO,5,4,26,8
toskave01,2007,1,TOR,2,3,15,6
osgooch01,2008,1,DET,4,2,21,6
auldal01,2007,2,BOS,2,3,15,5
masonch02,2010,1,ATL,2,2,17,4
raycran01,2006,1,TOR,3,6,32,13
mclenja01,2006,1,CAL,0,1,11,4
bernijo01,2009,1,LAK,1,0,6,0
rolosdw01,2008,1,EDM,4,4,24,5
auldal01,2006,1,FLO,0,3,8,6
labarja01,2010,1,PHO,1,1,5,2
raycran01,2010,1,DAL,2,0,6,1
millery01,2005,1,BUF,3,2,17,5
johnsbr02,2009,1,PIT,2,0,6,0
eschero01,2005,1,PHI,1,2,8,4
halakja01,2009,1,MTL,5,2,21,5
gigueje01,2010,1,TOR,2,2,15,7
divisre01,2005,1,STL,0,1,3,2
wardca01,2008,1,CAR,2,4,19,7
aubinje01,2005,1,TOR,0,2,5,2
howarji01,2010,1,DET,3,2,17,2
auldal01,2008,1,OTT,2,4,25,9
leclapa01,2009,1,OTT,3,1,10,5
theodjo01,2007,1,COL,6,1,28,6
tellqmi01,2008,1,PHO,1,0,8,1
sabouda01,2008,1,PIT,3,2,19,5
johnsbr02,2010,1,PIT,2,1,11,1
lalimpa01,2007,1,CHI,3,0,9,2
hasekdo01,2006,1,DET,1,5,16,8
bryzgil01,2009,1,PHO,8,5,62,17
nabokev01,2008,1,SJS,5,4,32,11
hasekdo01,2007,1,DET,3,2,12,3
norrefr01,2006,1,CBS,3,3,22,8
greisth01,2011,1,SJS,1,1,7,2
dunhami01,2005,1,ATL,0,2,4,3
toskave01,2008,1,TOR,4,5,29,14
sanfocu01,2005,1,STL,3,5,25,10
sanfocu01,2011,1,CBS,2,3,15,5
eschero01,2006,1,PHI,0,1,2,2
montoal01,2011,1,NYI,2,2,13,5
bironma01,2011,1,NYR,0,2,7,3
wardca01,2006,1,CAR,0,4,14,6
luongro01,2009,1,VAN,2,3,14,5
brodema01,2011,1,NJD,7,2,26,7
luongro01,2007,1,VAN,6,8,54,15
poggeju01,2008,1,TOR,0,1,2,2
aubinje01,2006,1,TOR,1,1,11,3
aebisda01,2006,1,MTL,2,2,18,6
macdojo01,2010,1,DET,1,2,9,2
budajpe01,2011,1,MTL,0,4,15,7
cloutda01,2007,1,LAK,1,0,4,1
kiprumi01,2009,1,CAL,2,7,27,15
emeryra01,2005,1,OTT,0,2,5,2
rolosdw01,2011,1,TBL,2,2,15,5
backsni01,2008,1,MIN,5,2,21,5
osgooch01,2006,1,DET,1,2,14,6
osgooch01,2005,1,DET,2,1,8,2
morrimi01,2005,1,EDM,5,2,24,6
ellisda01,2008,1,NAS,1,3,11,6
raycran01,2009,1,VAN,2,1,12,6
hardijo01,2009,1,MIN,2,0,10,1
andercr01,2008,1,FLO,0,4,11,7
bobrose01,2011,1,PHI,1,2,8,4
norrefr01,2007,1,CBS,0,4,10,4
wardca01,2011,1,CAR,1,4,14,6
danisya01,2009,1,NJD,0,1,3,3
cassifr01,2006,1,WAS,0,1,3,2
dubnyde01,2010,1,EDM,0,6,19,10
ellisda01,2007,1,NAS,2,1,9,4
backsni01,2007,1,MIN,1,6,21,12
nabokev01,2009,1,SJS,6,6,50,13
rasktu01,2010,1,BOS,1,1,5,2
hillejo01,2010,1,AND,4,2,26,4
toivoha01,2007,1,STL,1,2,9,2
millery01,2006,1,BUF,10,4,46,9
thibajo01,2006,1,PIT,1,1,5,3
enrotjh01,2010,1,BUF,3,0,19,5
backsni01,2009,1,MIN,2,7,38,14
lenevda01,2005,1,PHO,0,1,3,1
markkju01,2005,1,EDM,1,3,16,8
gigueje01,2009,1,AND,1,2,8,4
bryzgil01,2010,1,PHO,4,5,32,11
leclapa01,2005,1,CBS,4,2,18,4
leclapa01,2007,1,CBS,3,4,23,10
schneco01,2010,1,VAN,1,0,3,0
khabini01,2007,1,CHI,2,4,19,7
peterju01,2010,1,CAR,0,1,2,2
belfoed01,2006,1,FLO,1,5,25,9
rasktu01,2011,1,BOS,2,2,14,6
bryzgil01,2006,1,AND,0,4,13,6
