year,hofid,name,category
1981,ashlejo01h,John Ashley,Referee/Linesman
1979,juckego01h,Gordon Juckes,Builder
1983,mikitst01h,Stan Mikita,Player
1995,torrebi01h,Bill Torrey,Builder
1978,plantja01h,Jacques Plante,Player
1958,dudlege01h,George Dudley,Builder
1958,smythco01h,Conn Smythe,Builder
1952,stewane01h,Nels Stewart,Player
1949,bainda01h,Dan Bain,Player
1952,johnsmo01h,Moose Johnson,Player
1965,marshja02h,Jack Marshall,Player
1969,wortero01h,Roy Worters,Player
2011,belfoed01h,Ed Belfour,Player
1973,raynech01h,Chuck Rayner,Player
1947,nelsofr01h,Francis Nelson,Builder
2002,federbe01h,Bernie Federko,Player
1962,broadpu01h,Punch Broadbent,Player
1966,kennete01h,Ted Kennedy,Player
2007,francro01h,Ron Francis,Player
1966,brimsfr01h,Frank Brimsek,Player
1991,smithcl01h,Clint Smith,Player
2009,yzermst01h,Steve Yzerman,Player
1982,francem01h,Emile Francis,Builder
2004,bourqra01h,Raymond Bourque,Player
1975,pilotpi01h,Pierre Pilote,Player
1986,boivile01h,Leo Boivin,Player
1961,ellioch01h,Chaucer Elliott,Referee/Linesman
1998,murraat01h,Athol Murray,Builder
1988,laflegu01h,Guy Lafleur,Player
1984,esposph01h,Phil Esposito,Player
1993,knoxse01h,Seymour Knox,Builder
1971,weilaco01h,Cooney Weiland,Player
1971,robergo02h,Gord Roberts,Player
1980,patrily01h,Lynn Patrick,Player
1962,ahearfr01h,Frank Ahearn,Builder
1962,watsoha01h,Harry Watson,Player
1974,vossca01h,Carl Voss,Builder
1961,waghofr01h,Fred Waghorne,Builder
1981,stanlal01h,Allan Stanley,Player
1961,schmimi01h,Milt Schmidt,Player
1992,mathefr01h,Frank Mathers,Builder
2006,hotchha01h,Harley Hotchkiss,Builder
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1961,smeatco01h,Cooper Smeaton,Referee/Linesman
1961,rankifr01h,Frank Rankin,Player
1947,clappdi01h,Dit Clapper,Player
1995,robinla01h,Larry Robinson,Player
1963,primejo01h,Joe Primeau,Player
1958,bouchfr01h,Frank Boucher,Player
1972,belivje01h,Jean Beliveau,Player
1962,smithfr01h,Frank Smith,Builder
1987,giacoed01h,Ed Giacomin,Player
2002,neilsro01h,Roger Neilson,Builder
1962,ruttaja01h,Jack Ruttan,Player
1963,seibeea01h,Earl Seibert,Player
1999,morriia01h,Scotty Morrison,Builder
1988,esposto01h,Tony Esposito,Player
1977,ahearbu01h,Bunny Ahearne,Builder
1962,stanlba01h,Barney Stanley,Player
2009,robitlu01h,Luc Robitaille,Player
1990,barbebi01h,Bill Barber,Player
1960,walkeja01h,Jack Walker,Player
2009,lamorlo01h,Lou Lamoriello,Builder
1983,sindeha01h,Harry Sinden,Builder
1947,northwi01h,William Northey,Builder
1982,gilbero01h,Rod Gilbert,Player
1994,oneilbr01h,Brian O'Neill,Builder
1962,pitredi01h,Didier Pitre,Player
1947,caldefr01h,Frank Calder,Builder
2003,kilrebr01h,Brian Kilrea,Builder
1961,halljo01h,Joe Hall,Player
1973,molsoha01h,Hartland Molson,Builder
1965,russebl01h,Blair Russell,Player
1974,mooredi01h,Dickie Moore,Player
1978,bathgan01h,Andy Bathgate,Player
2006,roypa01h,Patrick Roy,Player
1977,cattajo01h,Joseph Cattarinich,Builder
1967,oliveha01h,Harry Oliver,Player
2001,gartnmi01h,Mike Gartner,Player
1972,holmeha01h,Hap Holmes,Player
1987,ziegljo01h,John Ziegler,Builder
1969,abelsi01h,Sid Abel,Player
1990,flamafe01h,Fern Flaman,Player
1961,richama01h,Maurice Richard,Player
1945,mcgeefr01h,Frank McGee,Player
1958,clancki01h,King Clancy,Player
1972,adamswe01h,Weston Adams,Builder
1950,grantmi01h,Mike Grant,Player
1963,dandule01h,Leo Dandurand,Builder
1952,mackami01h,Mickey MacKay,Player
1958,mcnamge02h,George McNamara,Player
1961,ionmi01h,Mickey Ion,Referee/Linesman
1963,mclaufr01h,Frederic McLaughlin,Builder
1964,durnabi01h,Bill Durnan,Player
1976,wirtzwi01h,William Wirtz,Builder
2000,bushwa01h,Walter Bush,Builder
1945,morenho01h,Howie Morenz,Player
1970,lebelro01h,Bob LeBel,Builder
1968,cowlebi01h,Bill Cowley,Player
1978,pronoma01h,Marcel Pronovost,Player
1965,hewitfo01h,Foster Hewitt,Builder
1965,lockhth01h,Tommy Lockhart,Builder
1971,wirtzar01h,Arthur Wirtz,Builder
1985,pilouru01h,Rudy Pilous,Builder
1974,burchbi01h,Billy Burch,Player
1986,savarse01h,Serge Savard,Player
1959,dennecy01h,Cy Denneny,Player
