playerid,year,ppa,sha
klimape01,1989,11,
murphla01,1988,22,
broteaa01,1989,3,
ruotsre01,1989,9,
tuckejo01,1990,1,
zezelpe01,1988,17,
hunteda01,1987,1,4
allismi01,1987,5,
huberwi01,1987,14,
mcintjo01,1990,,2
thibagi01,1989,2,
ledyagr01,1988,6,
courtge01,1987,7,
johanca01,1988,7,
mcbeawa01,1988,1,
loisecl01,1990,1,1
ruffli01,1988,1,
erickbr01,1987,6,
manthmo01,1987,15,1
adamsgr01,1989,1,
bennibr01,1989,5,
linseke01,1989,8,
petitmi01,1987,9,1
cullejo01,1990,29,
brownje02,1989,24,
grahadi01,1987,7,1
goulemi01,1989,15,1
macdepa01,1989,2,
petitmi01,1990,16,
zezelpe01,1990,5,1
libaig01,1988,6,
tantito01,1990,5,
lawtobr01,1989,1,
playfla01,1988,,1
quinnda01,1990,18,
cyrpa01,1987,1,
jonssto01,1988,24,
carpebo01,1988,4,
gartnmi01,1989,14,1
simpscr01,1987,10,1
sandsto01,1989,20,
huntema01,1990,4,
malondo01,1988,2,
crossdo01,1990,21,
krushmi01,1990,3,
lemiejo01,1989,1,1
sheehne01,1987,1,
tantito01,1989,9,
nylunga01,1988,1,
lawlepa01,1987,3,
hardyma01,1987,10,1
smaildo01,1990,1,1
bullami01,1988,13,
carsoji01,1989,5,
wilsoca01,1988,19,
konrost01,1988,1,1
brownro01,1990,10,
bassebo01,1988,,1
dineego01,1988,2,
halwado01,1988,1,
brookbo01,1989,1,2
deblolu01,1990,,1
sanipev01,1989,2,
dahlqch01,1990,,1
skrikpe01,1990,5,
creigad01,1988,7,
ramagro01,1987,19,2
robergo01,1987,3,
actonke01,1988,,1
wellsja01,1989,3,2
lawtobr01,1988,4,
hullbr01,1987,10,
poulida02,1989,1,1
mckegto01,1990,7,
courtru01,1988,2,
momesse01,1990,1,
chrisda01,1989,7,
larsore01,1988,14,
stastpe01,1989,23,
mcdonhu01,1989,1,
vaiveri01,1988,15,
pederba01,1989,7,1
franclo01,1990,1,1
pederma01,1990,7,
maclebr01,1988,8,
murphla01,1990,19,
picarro02,1989,1,1
norwole01,1990,3,
proppbr01,1989,9,
gingrga01,1987,9,
quinnda01,1989,15,1
hardyma01,1988,5,
wilsoca01,1990,4,
bodgedo01,1988,25,1
macivno01,1988,19,
fentopa01,1990,2,
bradlbr01,1990,10,
pavesji01,1987,1,
frasecu01,1987,2,
samueul01,1990,,2
butchga01,1990,3,2
duguaro01,1987,2,
joycebo01,1989,3,
ciccadi01,1988,10,1
dineego01,1987,2,
maroima01,1988,3,
wilsoca01,1987,9,3
ledyagr01,1987,5,
laughcr01,1987,3,
donnemi01,1987,2,
ferrara01,1990,5,
makelmi01,1989,1,
frycemi01,1988,3,
kaspest01,1988,6,2
iafraal01,1990,11,1
manthmo01,1988,9,
broteaa01,1990,1,
nichobe01,1989,37,1
tuckejo01,1989,6,
kennede01,1988,,2
