playerid,year,stint,tmid,s,g,gdg
koltsko01,2005,1,PIT,1,0,0
coutulo01,2011,1,SJS,0,4,0
staaler01,2010,1,CAR,1,0,0
lupuljo01,2007,1,PHI,1,1,0
ekmanol01,2011,1,PHO,1,4,1
dawesni01,2006,1,NYR,1,0,0
thornjo01,2005,2,SJS,3,0,0
belaner01,2006,2,ATL,1,0,0
froloal01,2007,1,LAK,2,0,0
kostise01,2010,1,NAS,1,0,0
clarkch01,2006,1,WAS,1,0,0
dubinbr01,2009,1,NYR,2,0,0
halpeje01,2005,1,WAS,2,0,0
forsbpe01,2005,1,PHI,7,3,0
nieuwjo01,2005,1,FLO,7,2,2
sundima01,2008,1,VAN,2,1,1
burmial01,2010,1,ATL,3,1,1
dimitni01,2005,1,SJS,3,1,0
richabr02,2009,1,LAK,1,0,0
brulegi01,2006,1,CBS,1,0,0
setogde01,2008,1,SJS,2,0,0
lehtije01,2006,1,DAL,3,1,1
comrimi01,2009,1,EDM,4,1,1
koivumi01,2009,1,MIN,12,5,2
shannry01,2006,1,AND,5,1,0
plekato01,2008,1,MTL,3,0,0
carteje01,2011,2,LAK,1,2,1
hanzama01,2007,1,PHO,1,0,0
stollja01,2011,1,LAK,2,8,0
grabomi01,2008,1,TOR,3,1,0
holmsto01,2006,1,DET,2,0,0
stumpjo01,2007,1,FLO,3,1,1
hossama01,2005,1,ATL,9,3,2
sykorpe02,2005,1,WAS,1,1,1
spezzja01,2005,1,OTT,2,0,0
widemde01,2005,1,STL,6,2,1
vincoto01,2011,1,DAL,1,2,1
franzjo01,2009,1,DET,1,0,0
kobasch01,2007,1,BOS,3,0,0
molleos01,2008,1,LAK,1,0,0
spezzja01,2008,1,OTT,10,3,1
macarcl01,2006,1,BUF,1,0,0
doansh01,2010,1,PHO,3,1,0
okposky01,2009,1,NYI,4,0,0
brouwtr01,2010,1,CHI,1,0,0
langeja01,2008,1,NJD,5,3,1
rydermi01,2006,1,MTL,4,1,1
amontto01,2006,1,CAL,2,0,0
boyddu01,2006,1,CAL,1,0,0
muellpe01,2007,1,PHO,10,3,3
ponikal01,2005,1,TOR,5,1,0
mcdonan01,2010,1,STL,5,3,1
comrimi01,2005,1,PHO,4,1,0
froloal01,2010,1,NYR,1,0,0
setogde01,2007,1,SJS,3,1,1
barkeca01,2009,1,CHI,1,0,0
korpila01,2009,1,PHO,17,7,2
bondrpe01,2005,1,ATL,3,0,0
royde01,2010,1,BUF,2,1,1
jokinju01,2005,1,DAL,13,10,3
eliaspa01,2006,1,NJD,11,2,1
laddan01,2009,1,CHI,4,1,1
smythry01,2008,1,COL,4,1,1
grabomi01,2010,1,TOR,6,2,1
chriser01,2009,2,NYR,4,1,1
poulima01,2009,1,EDM,2,0,0
thornjo01,2005,1,BOS,2,1,0
gueribi01,2008,1,NYI,2,1,0
belaner01,2011,1,EDM,0,2,0
handzmi01,2008,1,LAK,1,0,0
vermean01,2011,1,CBS,0,1,0
gagnesi01,2005,1,PHI,6,2,1
nasluma02,2005,1,VAN,7,2,1
hensitj01,2007,1,COL,2,0,0
seminal01,2007,1,WAS,7,3,2
mcdonan01,2007,1,AND,2,2,0
svatoma01,2005,1,COL,5,2,0
langkda01,2011,1,PHO,0,1,0
comrimi01,2006,2,OTT,5,2,0
gagnesi01,2009,1,PHI,1,0,0
goligal01,2010,1,PIT,1,0,0
stamkst01,2008,1,TBL,5,1,1
kopitan01,2008,1,LAK,7,2,0
letesma01,2010,1,PIT,4,1,1
koivumi01,2006,1,MIN,15,8,4
roenije01,2005,1,LAK,2,1,0
belaner01,2007,1,MIN,1,0,0
arnasty01,2005,1,CHI,3,1,0
gagnesa01,2007,1,EDM,17,5,4
royde01,2006,1,BUF,1,0,0
rucinma01,2005,1,NYR,2,0,0
stillco01,2008,1,FLO,5,1,0
wolskwo01,2007,1,COL,8,4,1
bouwmja01,2010,1,CAL,1,0,0
berglpa01,2011,1,STL,0,4,0
coglian01,2010,1,EDM,2,0,0
