playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
backsni01,2007,1,MIN,NHL,58,3409,33,13,8,2,4,131,1629,6,361,2,4,,0,0,17,170
chadwed01,1956,1,TOR,NHL,70,4200,21,34,15,,5,192,,,,,,,,,,
theodjo01,2003,1,MTL,NHL,67,3961,33,28,5,3,6,150,1860,11,678,4,7,,1,1,27,333
walshfl01,1930,1,MTM,NHL,16,961,7,7,2,,2,36,,,,,,,,,,
puppada01,1990,1,BUF,NHL,38,2092,15,11,6,0,2,118,1029,2,81,0,1,,0,0,10,46
graharo02,1979,1,LAK,NHL,26,1405,9,11,4,1,2,98,,,,,,,,,,
youngwe01,1991,1,PIT,NHL,18,838,7,6,0,4,0,53,476,,,,,,,,,
whitmka01,1991,1,HAR,NHL,45,2567,14,21,6,2,3,155,1292,1,19,0,0,,0,0,1,5
baronma01,1981,1,BOS,NHL,44,2515,22,16,4,3,1,144,,,,,,,,,,
reschgl01,1980,1,NYI,NHL,32,1817,18,7,5,2,3,93,,,,,,,,,,
konstev01,2000,1,TBL,NHL,1,0,0,0,0,0,0,0,0,,,,,,,,,
murrato01,1918,1,VA2,PCHA,20,1252,7,13,0,,2,81,,,,,,,,,,
stefagr01,1984,1,DET,NHL,46,2635,21,19,3,1,0,190,1361,3,138,0,3,,0,0,17,69
baumaga01,1966,1,MTL,NHL,2,120,1,1,0,0,0,5,,,,,,,,,,
riccini01,1980,1,PIT,NHL,9,540,4,5,0,1,0,35,,,,,,,,,,
edwardo01,1982,1,CAL,NHL,39,2209,16,15,6,1,1,148,1255,5,226,1,2,,0,0,22,
cudewi01,1940,1,MTL,NHL,3,180,2,1,0,,0,13,,,,,,,,,,
bobrose01,2011,1,PHI,NHL,29,1550,14,10,2,2,0,78,769,1,37,0,0,,0,0,5,18
holmqjo01,2007,2,DAL,NHL,2,80,1,0,0,0,0,5,35,,,,,,,,,
luongro01,2008,1,VAN,NHL,54,3181,33,13,7,5,9,124,1542,10,618,6,4,,2,1,26,304
whitmka01,2001,1,CAL,NHL,1,58,0,1,0,0,0,3,21,,,,,,,,,
josepcu01,1997,1,EDM,NHL,71,4132,29,31,9,6,8,181,1901,12,716,5,7,,1,3,23,319
richtmi01,1989,1,NYR,NHL,23,1320,12,5,5,0,0,66,686,6,330,3,2,,0,0,19,182
climima01,2010,1,PHO,NHL,1,32,0,0,0,0,0,1,16,,,,,,,,,
vokouto01,1998,1,NAS,NHL,37,1954,12,18,4,4,1,96,1041,,,,,,,,,
neuvimi01,2008,1,WAS,NHL,5,220,2,1,0,0,0,11,102,,,,,,,,,
hallgl01,1966,1,CHI,NHL,32,1664,19,5,5,0,2,66,,3,176,1,2,,0,0,8,
plassmi01,1979,1,COR,NHL,6,327,0,3,2,0,0,26,,,,,,,,,,
dipieri01,2009,1,NYI,NHL,8,462,2,5,0,2,1,20,201,,,,,,,,,
hirscco01,1998,1,VAN,NHL,20,919,3,8,3,0,1,48,435,,,,,,,,,
johnsed01,1963,1,BOS,NHL,70,4200,18,40,12,1,6,211,,,,,,,,,,
khabini01,2003,1,TBL,NHL,55,3274,28,19,7,5,3,127,1414,23,1401,16,7,,1,5,40,598
brownke01,1970,1,CHI,NHL,1,18,0,0,0,0,0,1,,,,,,,,,,
richtmi01,1991,1,NYR,NHL,41,2298,23,12,2,3,3,119,1205,7,412,4,2,,0,1,24,226
daleyjo01,1977,1,WIJ,WHA,37,2075,21,11,1,1,1,114,971,5,271,4,1,,0,0,13,
perrebo01,1958,1,DET,NHL,3,180,2,1,0,,1,9,,,,,,,,,,
vokouto01,2005,1,NAS,NHL,61,3601,36,18,7,1,4,160,1984,,,,,,,,,
dycked01,1973,1,VAN,NHL,12,583,2,5,2,0,0,45,,,,,,,,,,
brimsfr01,1941,1,BOS,NHL,47,2930,24,17,6,,3,115,,5,307,2,3,,,0,16,
ranfobi01,1997,1,WAS,NHL,22,1183,7,12,2,3,0,55,555,,,,,,,,,
thomawa01,1977,1,NYR,NHL,41,2352,12,20,7,3,4,141,,1,60,0,1,,0,0,4,
raycran01,2002,1,BOS,NHL,5,300,2,3,0,0,0,12,146,,,,,,,,,
wortero01,1932,1,NYA,NHL,47,2970,15,22,10,,5,116,,,,,,,,,,
andercr01,2009,1,COL,NHL,71,4235,38,25,7,6,7,186,2233,6,366,2,4,,2,1,16,239
whitmka01,1993,1,VAN,NHL,32,1921,18,14,0,2,0,113,848,,,,,,,,,
roypa01,1989,1,MTL,NHL,54,3173,31,16,5,2,3,134,1524,11,641,5,6,,1,1,26,292
rutlewa01,1967,1,LAK,NHL,45,2444,20,18,4,2,2,117,,3,149,1,1,,0,0,8,
storrja01,1999,1,LAK,NHL,42,2206,18,15,5,5,1,93,1008,1,36,0,1,,1,0,2,25
fankhsc01,1999,1,ATL,NHL,16,920,2,11,2,1,0,49,451,,,,,,,,,
mooreal01,1936,1,NYA,NHL,18,1110,7,11,0,,1,64,,,,,,,,,,
smithmi02,2007,2,TBL,NHL,13,774,3,10,0,5,1,36,338,,,,,,,,,
flahewa01,1992,1,SJS,NHL,1,60,0,1,0,0,0,5,46,,,,,,,,,
bierkza01,2002,1,PHO,NHL,16,884,4,9,1,3,1,32,471,,,,,,,,,
garrejo01,1973,1,MFS,WHA,40,2290,21,18,0,1,1,137,1414,7,372,4,2,,1,0,25,256
innesga01,1973,1,PIT,NHL,20,1032,7,10,1,1,0,56,,,,,,,,,,
vanbijo01,2000,1,NYI,NHL,44,2390,10,25,5,4,1,120,1177,,,,,,,,,
masonch02,2007,1,NAS,NHL,51,2692,18,22,6,5,4,130,1278,,,,,,,,,
doylega01,1973,1,EDO,WHA,1,60,1,0,0,0,0,4,38,,,,,,,,,
peetepe01,1979,1,PHI,NHL,40,2373,29,5,5,1,1,108,,13,799,8,5,,0,1,37,
lindsbe01,1910,1,REN,NHA,16,960,8,8,0,,0,101,,,,,,,,,,
mckenbi01,1974,1,DET,NHL,13,740,1,9,2,1,0,58,,,,,,,,,,
rutheji01,1977,1,DET,NHL,43,2468,20,17,4,1,1,134,,3,180,2,1,,0,0,12,
tenoha01,1938,1,DET,NHL,5,300,2,3,0,,0,15,,,,,,,,,,
hasekdo01,1992,1,BUF,NHL,28,1429,11,10,4,1,0,75,720,1,45,1,0,,0,0,1,24
parkji01,1975,1,IND,WHA,11,572,6,4,0,0,0,23,297,6,293,3,2,,1,2,12,156
cheevge01,1975,2,BOS,NHL,15,900,8,2,5,1,1,41,,6,393,2,4,,0,1,14,
mcraego01,1977,1,TOR,NHL,18,1040,7,10,1,3,1,57,,,,,,,,,,
gilbegi01,1979,1,BOS,NHL,33,1933,20,9,3,1,1,88,,,,,,,,,,
damouma01,1985,1,CAL,NHL,15,560,2,4,2,0,0,32,310,,,,,,,,,
benedcl01,1927,1,MTM,NHL,44,2690,24,14,6,,6,76,,9,555,5,3,1,,4,8,
weekeke01,2001,1,TBL,NHL,19,830,3,9,0,3,2,40,470,,,,,,,,,
clemmsc01,2011,1,FLO,NHL,30,1566,14,6,6,1,1,67,773,3,179,1,2,,0,0,7,88
bullobr01,1974,1,VAN,NHL,1,60,0,1,0,0,0,4,,,,,,,,,,
sawchte01,1967,1,LAK,NHL,36,1936,11,14,6,2,2,99,,5,280,2,3,,0,1,18,
hackeje01,1993,1,CHI,NHL,22,1084,2,12,3,0,0,62,566,,,,,,,,,
gerbema01,2002,1,ANA,NHL,22,1203,6,11,3,4,1,39,548,2,20,0,0,,0,0,1,6
lapoino01,1977,1,CIN,WHA,13,647,5,6,1,2,0,50,345,,,,,,,,,
saloto01,2003,1,EDM,NHL,44,2487,17,18,6,1,3,107,1024,,,,,,,,,
laskoga01,1983,1,LAK,NHL,13,665,4,7,1,2,0,55,321,,,,,,,,,
belfoed01,1988,1,CHI,NHL,23,1148,4,12,3,1,0,74,605,,,,,,,,,
binklle01,1975,1,TOT,WHA,7,335,0,6,0,0,0,32,212,,,,,,,,,
archayv01,1972,1,PHB,WHA,6,260,1,3,0,0,0,17,122,3,153,0,2,,0,0,11,66
divisre01,2003,1,STL,NHL,13,629,4,4,2,2,0,29,291,1,18,0,0,,0,0,0,8
froesbo01,1987,1,NYR,NHL,25,1443,8,11,3,2,0,85,697,,,,,,,,,
mcneige01,1949,1,MTL,NHL,6,360,3,1,2,,1,9,,2,135,1,1,,,0,5,
belfoed01,1990,1,CHI,NHL,74,4127,43,19,7,3,4,170,1883,6,295,2,4,,0,0,20,183
bergeje01,1995,1,TBL,NHL,12,595,2,6,2,2,0,42,250,,,,,,,,,
faveldo01,1976,1,COR,NHL,30,1614,8,15,3,1,0,105,,,,,,,,,,
cudewi01,1937,1,MTL,NHL,47,2990,18,17,12,,3,126,,3,192,1,2,,,0,11,
woodwa01,1976,1,BIR,WHA,23,1132,7,12,0,3,0,78,669,,,,,,,,,
lundqhe01,2011,1,NYR,NHL,62,3754,39,18,5,7,8,123,1753,20,1251,10,10,,3,3,38,554
garrejo01,1975,1,MFS,WHA,52,3179,26,22,4,3,2,177,1733,,,,,,,,,
