orderid,productid,unitprice,quantity,discount
10314,58,10.6,30,0.0
10826,57,19.5,15,0.0
10813,2,19.0,12,0.0
10709,51,53.0,28,0.0
10497,72,27.8,25,0.0
10335,31,10.0,25,0.0
10678,12,38.0,100,0.0
10986,77,13.0,15,0.0
10848,9,97.0,3,0.0
10454,16,13.9,20,0.0
10926,11,21.0,2,0.0
10765,65,21.05,80,0.0
10601,59,55.0,35,0.0
11076,6,25.0,20,0.0
10717,21,10.0,32,0.0
10619,21,10.0,42,0.0
10294,17,31.2,15,0.0
10555,14,23.25,30,0.0
10562,62,49.3,10,0.0
10736,65,21.05,40,0.0
10634,18,62.5,50,0.0
10435,72,27.8,10,0.0
10553,35,18.0,6,0.0
11039,28,45.6,20,0.0
10789,35,18.0,15,0.0
10729,50,16.25,40,0.0
10329,30,20.7,8,0.0
10442,54,5.9,80,0.0
10358,24,3.6,10,0.0
10685,41,9.65,4,0.0
10751,50,16.25,20,0.0
11052,61,28.5,10,0.0
10698,65,21.05,65,0.0
10350,69,28.8,18,0.0
10520,53,32.8,5,0.0
11045,51,53.0,24,0.0
10277,62,39.4,12,0.0
10779,16,17.45,20,0.0
10652,30,25.89,2,0.0
10784,39,18.0,2,0.0
10982,7,30.0,20,0.0
10838,18,62.5,25,0.0
10845,42,14.0,42,0.0
10558,73,15.0,3,0.0
10957,64,33.25,8,0.0
10356,31,10.0,30,0.0
10332,47,7.6,16,0.0
10681,64,33.25,28,0.0
10760,43,46.0,30,0.0
10615,55,24.0,5,0.0
10591,54,7.45,50,0.0
10767,42,14.0,2,0.0
10837,76,18.0,21,0.0
10416,19,7.3,20,0.0
10564,31,12.5,6,0.0
10884,21,10.0,40,0.0
10380,53,26.2,20,0.0
10386,34,11.2,10,0.0
10597,57,19.5,20,0.0
10436,56,30.4,40,0.0
10897,29,123.79,80,0.0
10382,18,50.0,9,0.0
10785,75,7.75,10,0.0
10780,77,13.0,15,0.0
